model	metabolite
lane121s003951_bin.1.p	ca2
lane121s003951_bin.1.p	cl
lane121s003951_bin.1.p	cobalt2
lane121s003951_bin.1.p	glcman6
lane121s003951_bin.1.p	gln__L
lane121s003951_bin.1.p	glucan6
lane121s003951_bin.1.p	k
lane121s003951_bin.1.p	malthx
lane121s003951_bin.1.p	mg2
lane121s003951_bin.1.p	mn2
lane121s003951_bin.1.p	nmn
lane121s003951_bin.1.p	o2
lane121s003951_bin.1.p	so4
lane121s003951_bin.1.p	thm
lane121s003951_bin.1.p	xylan8
lane121s003951_bin.1.p	zn2
lane121s003952_megahit	14glucan
lane121s003952_megahit	ca2
lane121s003952_megahit	cl
lane121s003952_megahit	cobalt2
lane121s003952_megahit	fe2
lane121s003952_megahit	galman6
lane121s003952_megahit	glcman6
lane121s003952_megahit	glucan6
lane121s003952_megahit	k
lane121s003952_megahit	mg2
lane121s003952_megahit	mn2
lane121s003952_megahit	zn2
lane121s003953_shovill	ca2
lane121s003953_shovill	cellb
lane121s003953_shovill	cl
lane121s003953_shovill	cobalt2
lane121s003953_shovill	cu2
lane121s003953_shovill	fru
lane121s003953_shovill	glc__D
lane121s003953_shovill	k
lane121s003953_shovill	lcts
lane121s003953_shovill	malt
lane121s003953_shovill	malthx
lane121s003953_shovill	man
lane121s003953_shovill	mg2
lane121s003953_shovill	mn2
lane121s003953_shovill	sucr
lane121s003953_shovill	udcpp
lane121s003953_shovill	zn2
lane121s003954_shovill	ca2
lane121s003954_shovill	cell6
lane121s003954_shovill	cl
lane121s003954_shovill	cobalt2
lane121s003954_shovill	fe2
lane121s003954_shovill	k
lane121s003954_shovill	mg2
lane121s003954_shovill	mn2
lane121s003954_shovill	no3
lane121s003954_shovill	o2
lane121s003954_shovill	raffin
lane121s003954_shovill	udcpp
lane121s003954_shovill	zn2
lane121s003955_bin.1.s	ca2
lane121s003955_bin.1.s	cl
lane121s003955_bin.1.s	cobalt2
lane121s003955_bin.1.s	dha
lane121s003955_bin.1.s	g3pi
lane121s003955_bin.1.s	glcur
lane121s003955_bin.1.s	gln__L
lane121s003955_bin.1.s	h
lane121s003955_bin.1.s	k
lane121s003955_bin.1.s	mg2
lane121s003955_bin.1.s	mn2
lane121s003955_bin.1.s	no3
lane121s003955_bin.1.s	no
lane121s003955_bin.1.s	o2
lane121s003955_bin.1.s	so4
lane121s003955_bin.1.s	tet
lane121s003955_bin.1.s	thm
lane121s003955_bin.1.s	udcpp
lane121s003955_bin.1.s	zn2
lane121s003958_shovill	14glucan
lane121s003958_shovill	ca2
lane121s003958_shovill	cl
lane121s003958_shovill	cobalt2
lane121s003958_shovill	cu2
lane121s003958_shovill	fe2
lane121s003958_shovill	glcman6
lane121s003958_shovill	glucan6
lane121s003958_shovill	k
lane121s003958_shovill	malthx
lane121s003958_shovill	mg2
lane121s003958_shovill	mn2
lane121s003958_shovill	udcpp
lane121s003958_shovill	zn2
lane121s003960_shovill	ca2
lane121s003960_shovill	cl
lane121s003960_shovill	cobalt2
lane121s003960_shovill	cu2
lane121s003960_shovill	fe2
lane121s003960_shovill	fru
lane121s003960_shovill	galt
lane121s003960_shovill	k
lane121s003960_shovill	malthx
lane121s003960_shovill	man
lane121s003960_shovill	melib
lane121s003960_shovill	mg2
lane121s003960_shovill	mn2
lane121s003960_shovill	mnl
lane121s003960_shovill	pydam
lane121s003960_shovill	sbt__D
lane121s003960_shovill	so4
lane121s003960_shovill	zn2
lane121s003962_megahit	ca2
lane121s003962_megahit	cl
lane121s003962_megahit	cobalt2
lane121s003962_megahit	cu2
lane121s003962_megahit	galman6
lane121s003962_megahit	glcman6
lane121s003962_megahit	k
lane121s003962_megahit	malthp
lane121s003962_megahit	malthx
lane121s003962_megahit	maltttr
lane121s003962_megahit	mg2
lane121s003962_megahit	mn2
lane121s003962_megahit	pydxn
lane121s003962_megahit	zn2
lane121s003963_shovill	akg
lane121s003963_shovill	ca2
lane121s003963_shovill	cl
lane121s003963_shovill	cobalt2
lane121s003963_shovill	cu2
lane121s003963_shovill	fe2
lane121s003963_shovill	galct__D
lane121s003963_shovill	gln__L
lane121s003963_shovill	glu__L
lane121s003963_shovill	h
lane121s003963_shovill	k
lane121s003963_shovill	mg2
lane121s003963_shovill	mn2
lane121s003963_shovill	no3
lane121s003963_shovill	o2
lane121s003963_shovill	pro__L
lane121s003963_shovill	udcpp
lane121s003963_shovill	zn2
lane121s003964_megahit	14glucan
lane121s003964_megahit	ca2
lane121s003964_megahit	cellb
lane121s003964_megahit	cl
lane121s003964_megahit	cobalt2
lane121s003964_megahit	cu2
lane121s003964_megahit	fe2
lane121s003964_megahit	k
lane121s003964_megahit	malt
lane121s003964_megahit	mg2
lane121s003964_megahit	mn2
lane121s003964_megahit	tre
lane121s003964_megahit	zn2
lane121s003965_shovill	14glucan
lane121s003965_shovill	ca2
lane121s003965_shovill	cl
lane121s003965_shovill	cobalt2
lane121s003965_shovill	fe2
lane121s003965_shovill	galman6
lane121s003965_shovill	glcman6
lane121s003965_shovill	glucan6
lane121s003965_shovill	k
lane121s003965_shovill	mg2
lane121s003965_shovill	mn2
lane121s003965_shovill	zn2
lane121s003968_megahit	14glucan
lane121s003968_megahit	ca2
lane121s003968_megahit	cell6
lane121s003968_megahit	cellb
lane121s003968_megahit	cl
lane121s003968_megahit	cobalt2
lane121s003968_megahit	k
lane121s003968_megahit	malt
lane121s003968_megahit	mg2
lane121s003968_megahit	mn2
lane121s003968_megahit	raffin
lane121s003968_megahit	sucr
