model	metabolite
lane121s003951_bin.1.p	25dkglcn
lane121s003951_bin.1.p	3ump
lane121s003951_bin.1.p	5dglcn
lane121s003951_bin.1.p	LalaDgluMdap
lane121s003951_bin.1.p	acgam
lane121s003951_bin.1.p	adn
lane121s003951_bin.1.p	arg__L
lane121s003951_bin.1.p	ca2
lane121s003951_bin.1.p	cellb
lane121s003951_bin.1.p	cgly
lane121s003951_bin.1.p	chor
lane121s003951_bin.1.p	cl
lane121s003951_bin.1.p	coa
lane121s003951_bin.1.p	cobalt2
lane121s003951_bin.1.p	cu2
lane121s003951_bin.1.p	dad_2
lane121s003951_bin.1.p	dextrin
lane121s003951_bin.1.p	dha
lane121s003951_bin.1.p	fald
lane121s003951_bin.1.p	feenter
lane121s003951_bin.1.p	fol
lane121s003951_bin.1.p	g3ps
lane121s003951_bin.1.p	glcman4
lane121s003951_bin.1.p	glcman6
lane121s003951_bin.1.p	gln__L
lane121s003951_bin.1.p	glucan4
lane121s003951_bin.1.p	glucan6
lane121s003951_bin.1.p	gly_asn__L
lane121s003951_bin.1.p	glyald
lane121s003951_bin.1.p	gua
lane121s003951_bin.1.p	h
lane121s003951_bin.1.p	his__L
lane121s003951_bin.1.p	k
lane121s003951_bin.1.p	lcts
lane121s003951_bin.1.p	leu__L
lane121s003951_bin.1.p	lmn2
lane121s003951_bin.1.p	lys__L
lane121s003951_bin.1.p	madg
lane121s003951_bin.1.p	mal__L
lane121s003951_bin.1.p	malt
lane121s003951_bin.1.p	malthx
lane121s003951_bin.1.p	malttr
lane121s003951_bin.1.p	maltttr
lane121s003951_bin.1.p	manb
lane121s003951_bin.1.p	mantr
lane121s003951_bin.1.p	manttr
lane121s003951_bin.1.p	mbdg
lane121s003951_bin.1.p	melib
lane121s003951_bin.1.p	meoh
lane121s003951_bin.1.p	met__D
lane121s003951_bin.1.p	met__L
lane121s003951_bin.1.p	metox__R
lane121s003951_bin.1.p	mg2
lane121s003951_bin.1.p	mn2
lane121s003951_bin.1.p	mnl
lane121s003951_bin.1.p	mobd
lane121s003951_bin.1.p	mso3
lane121s003951_bin.1.p	nac
lane121s003951_bin.1.p	nh4
lane121s003951_bin.1.p	nmn
lane121s003951_bin.1.p	no
lane121s003951_bin.1.p	o2
lane121s003951_bin.1.p	octa
lane121s003951_bin.1.p	orn
lane121s003951_bin.1.p	oxa
lane121s003951_bin.1.p	pacald
lane121s003951_bin.1.p	pentso3
lane121s003951_bin.1.p	phpyr
lane121s003951_bin.1.p	pi
lane121s003951_bin.1.p	pnto__R
lane121s003951_bin.1.p	ppa
lane121s003951_bin.1.p	ppap
lane121s003951_bin.1.p	pro__L
lane121s003951_bin.1.p	progly
lane121s003951_bin.1.p	ptrc
lane121s003951_bin.1.p	pyovd_kt
lane121s003951_bin.1.p	pyr
lane121s003951_bin.1.p	raffin
lane121s003951_bin.1.p	rib__D
lane121s003951_bin.1.p	ribflv
lane121s003951_bin.1.p	rmn
lane121s003951_bin.1.p	s
lane121s003951_bin.1.p	sbt__D
lane121s003951_bin.1.p	skm
lane121s003951_bin.1.p	so3
lane121s003951_bin.1.p	so4
lane121s003951_bin.1.p	spmd
lane121s003951_bin.1.p	succ
lane121s003951_bin.1.p	sula
lane121s003951_bin.1.p	sulfac
lane121s003951_bin.1.p	taur
lane121s003951_bin.1.p	thm
lane121s003951_bin.1.p	thr__L
lane121s003951_bin.1.p	tre
lane121s003951_bin.1.p	trp__L
lane121s003951_bin.1.p	tsul
lane121s003951_bin.1.p	tyr__L
lane121s003951_bin.1.p	urea
lane121s003951_bin.1.p	uri
lane121s003951_bin.1.p	val__L
lane121s003951_bin.1.p	xtsn
lane121s003951_bin.1.p	xyl3
lane121s003951_bin.1.p	xyl__D
lane121s003951_bin.1.p	xylan4
lane121s003951_bin.1.p	xylan8
lane121s003951_bin.1.p	xylb
lane121s003951_bin.1.p	zn2
lane121s003952_megahit	R_sink_amob_c
lane121s003952_megahit	R_sink_hemeO_c
lane121s003952_megahit	R_sink_lipopb_c
lane121s003952_megahit	R_sink_mobd_c
lane121s003952_megahit	R_sink_sheme_c
lane121s003952_megahit	14glucan
lane121s003952_megahit	23camp
lane121s003952_megahit	23ccmp
lane121s003952_megahit	23cgmp
lane121s003952_megahit	23cump
lane121s003952_megahit	25dkglcn
lane121s003952_megahit	2hxmp
lane121s003952_megahit	2mbald
lane121s003952_megahit	3amp
lane121s003952_megahit	3cmp
lane121s003952_megahit	3mb
lane121s003952_megahit	3ump
lane121s003952_megahit	4abut
lane121s003952_megahit	4hba
lane121s003952_megahit	5dglcn
lane121s003952_megahit	5mcsn
lane121s003952_megahit	abt__L
lane121s003952_megahit	abt
lane121s003952_megahit	ac
lane121s003952_megahit	acac
lane121s003952_megahit	acald
lane121s003952_megahit	acgam
lane121s003952_megahit	actn__R
lane121s003952_megahit	ala_B
lane121s003952_megahit	ala_L_asp__L
lane121s003952_megahit	ala_L_glu__L
lane121s003952_megahit	ala__D
lane121s003952_megahit	ala__L
lane121s003952_megahit	anhgm
lane121s003952_megahit	arbt
lane121s003952_megahit	arg__L
lane121s003952_megahit	asn__L
lane121s003952_megahit	asp__L
lane121s003952_megahit	btn
lane121s003952_megahit	but
lane121s003952_megahit	buts
lane121s003952_megahit	butso3
lane121s003952_megahit	bz
lane121s003952_megahit	ca2
lane121s003952_megahit	cellb
lane121s003952_megahit	cgly
lane121s003952_megahit	cit
lane121s003952_megahit	cl
lane121s003952_megahit	co2
lane121s003952_megahit	cobalt2
lane121s003952_megahit	cu2
lane121s003952_megahit	cu
lane121s003952_megahit	cys__L
lane121s003952_megahit	cytd
lane121s003952_megahit	dad_2
lane121s003952_megahit	dca
lane121s003952_megahit	dcyt
lane121s003952_megahit	dextrin
lane121s003952_megahit	dhptd
lane121s003952_megahit	drib
lane121s003952_megahit	duri
lane121s003952_megahit	etha
lane121s003952_megahit	eths
lane121s003952_megahit	ethso3
lane121s003952_megahit	etoh
lane121s003952_megahit	fe2
lane121s003952_megahit	fe3
lane121s003952_megahit	fe3pyovd_kt
lane121s003952_megahit	fol
lane121s003952_megahit	for
lane121s003952_megahit	fru
lane121s003952_megahit	fuc
lane121s003952_megahit	fum
lane121s003952_megahit	g3pc
lane121s003952_megahit	galman4
lane121s003952_megahit	galman6
lane121s003952_megahit	galur
lane121s003952_megahit	gam
lane121s003952_megahit	glc__D
lane121s003952_megahit	glcman4
lane121s003952_megahit	glcman6
lane121s003952_megahit	glcn__D
lane121s003952_megahit	glcur
lane121s003952_megahit	gln__L
lane121s003952_megahit	glu__L
lane121s003952_megahit	glucan4
lane121s003952_megahit	glucan6
lane121s003952_megahit	gly_asn__L
lane121s003952_megahit	gly_asp__L
lane121s003952_megahit	gly
lane121s003952_megahit	gly_glu__L
