model	metabolite
lane121s003951_bin.1.p	25dkglcn
lane121s003951_bin.1.p	5dglcn
lane121s003951_bin.1.p	ca2
lane121s003951_bin.1.p	cl
lane121s003951_bin.1.p	cobalt2
lane121s003951_bin.1.p	glcman4
lane121s003951_bin.1.p	glcman6
lane121s003951_bin.1.p	gln__L
lane121s003951_bin.1.p	glucan4
lane121s003951_bin.1.p	glucan6
lane121s003951_bin.1.p	h
lane121s003951_bin.1.p	k
lane121s003951_bin.1.p	malthx
lane121s003951_bin.1.p	malttr
lane121s003951_bin.1.p	maltttr
lane121s003951_bin.1.p	mantr
lane121s003951_bin.1.p	manttr
lane121s003951_bin.1.p	mg2
lane121s003951_bin.1.p	mn2
lane121s003951_bin.1.p	nmn
lane121s003951_bin.1.p	o2
lane121s003951_bin.1.p	so4
lane121s003951_bin.1.p	thm
lane121s003951_bin.1.p	xylan8
lane121s003951_bin.1.p	zn2
lane121s003952_megahit	14glucan
lane121s003952_megahit	ca2
lane121s003952_megahit	cellb
lane121s003952_megahit	cl
lane121s003952_megahit	cobalt2
lane121s003952_megahit	fe2
lane121s003952_megahit	galman4
lane121s003952_megahit	galman6
lane121s003952_megahit	glcman4
lane121s003952_megahit	glcman6
lane121s003952_megahit	glucan4
lane121s003952_megahit	glucan6
lane121s003952_megahit	k
lane121s003952_megahit	malt
lane121s003952_megahit	melib
lane121s003952_megahit	mg2
lane121s003952_megahit	mn2
lane121s003952_megahit	o2
lane121s003952_megahit	tre
lane121s003952_megahit	xylan4
lane121s003952_megahit	zn2
lane121s003953_shovill	ca2
lane121s003953_shovill	cellb
lane121s003953_shovill	cl
lane121s003953_shovill	cobalt2
lane121s003953_shovill	cu2
lane121s003953_shovill	fru
lane121s003953_shovill	gam
lane121s003953_shovill	glc__D
lane121s003953_shovill	glyc3p
lane121s003953_shovill	glyc
lane121s003953_shovill	k
lane121s003953_shovill	lcts
lane121s003953_shovill	malt
lane121s003953_shovill	malthx
lane121s003953_shovill	man
lane121s003953_shovill	mg2
lane121s003953_shovill	mn2
lane121s003953_shovill	o2
lane121s003953_shovill	sucr
lane121s003953_shovill	udcpp
lane121s003953_shovill	zn2
lane121s003954_shovill	Larab
lane121s003954_shovill	arbt
lane121s003954_shovill	ca2
lane121s003954_shovill	cell6
lane121s003954_shovill	cellb
lane121s003954_shovill	cl
lane121s003954_shovill	cobalt2
lane121s003954_shovill	fe2
lane121s003954_shovill	fru
lane121s003954_shovill	gam
lane121s003954_shovill	glc__D
lane121s003954_shovill	k
lane121s003954_shovill	lcts
lane121s003954_shovill	malt
lane121s003954_shovill	man
lane121s003954_shovill	mg2
lane121s003954_shovill	mn2
lane121s003954_shovill	no3
lane121s003954_shovill	o2
lane121s003954_shovill	raffin
lane121s003954_shovill	salcn
