count	combination
2	single
3	single
6	single
1	single
4	single
3	single
0	single
0	single
1	single
3	single
4	single
4	single
5	single
0	single
0	single
2	single
1	single
0	single
0	single
0	single
8	single
7	single
0	single
1	single
2	single
3	single
11	single
6	single
0	single
0	single
12	single
3	single
3	single
1	single
6	single
0	single
0	single
0	single
5	single
0	single
12	single
5	single
0	single
2	single
4	single
0	single
2	single
4	single
0	single
5	single
3	single
20	single
11	single
1	single
1	single
20	single
7	single
8	single
0	pairwise
0	pairwise
2	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
2	pairwise
1	pairwise
1	pairwise
0	pairwise
0	pairwise
2	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
2	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
1	pairwise
0	pairwise
0	pairwise
0	pairwise
2	pairwise
2	pairwise
1	pairwise
0	pairwise
0	pairwise
2	pairwise
1	pairwise
2	pairwise
0	pairwise
2	pairwise
1	pairwise
1	pairwise
1	pairwise
0	pairwise
0	pairwise
0	pairwise
3	pairwise
1	pairwise
1	pairwise
3	pairwise
0	pairwise
0	pairwise
2	pairwise
1	pairwise
0	pairwise
0	pairwise
0	pairwise
3	pairwise
2	pairwise
0	pairwise
0	pairwise
0	pairwise
1	pairwise
3	pairwise
1	pairwise
0	pairwise
0	pairwise
1	pairwise
1	pairwise
1	pairwise
0	pairwise
3	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
0	pairwise
2	pairwise
3	pairwise
0	pairwise
1	pairwise
3	pairwise
0	pairwise
1	pairwise
3	pairwise
0	pairwise
3	pairwise
1	pairwise
3	pairwise
2	pairwise
1	pairwise
1	pairwise
3	pairwise
2	pairwise
1	pairwise
0	pairwise
2	pairwise
1	pairwise
2	pairwise
2	pairwise
0	pairwise
0	pairwise
0	pairwise
2	pairwise
2	pairwise
1	pairwise
3	pairwise
0	pairwise
0	pairwise
2	pairwise
1	pairwise
0	pairwise
0	pairwise
0	pairwise
2	pairwise
3	pairwise
0	pairwise
0	pairwise
1	pairwise
1	pairwise
5	pairwise
2	pairwise
0	pairwise
0	pairwise
4	pairwise
0	pairwise
0	pairwise
0	pairwise
3	pairwise
0	pairwise
0	pairwise
0	pairwise
1	pairwise
0	pairwise
3	pairwise
2	pairwise
0	pairwise
0	pairwise
3	pairwise
0	pairwise
1	pairwise
3	pairwise
0	pairwise
3	pairwise
1	pairwise
6	pairwise
5	pairwise
0	pairwise
1	pairwise
6	pairwise
2	pairwise
1	pairwise
0	pairwise
1	pairwise
1	pairwise
1	pairwise
0	pairwise
0	pairwise
0	pairwise
