test	title	section	metric	numeric	model	time	score	weight	status
test_absolute_extreme_coefficient_ratio	Ratio Min/Max Non-Zero Coefficients	matrix	0.0	541248.3099999999	lane122s000527_megahit	0.015435734996572137			passed
test_biomass_consistency	Biomass Consistency	test_biomass	1.0	1.0327153669083813	lane122s000527_megahit	0.000418485957197845			failed
test_biomass_default_production	Biomass Production In Default Medium	test_biomass	0.0	28.838766685149125	lane122s000527_megahit	0.1572341569699347			passed
test_biomass_open_production	Biomass Production In Complete Medium	test_biomass	0.0	28.838766685149125	lane122s000527_megahit	0.0033542999299243093			passed
test_biomass_precursors_default_production	Blocked Biomass Precursors In Default Medium	test_biomass	0.0	0	lane122s000527_megahit	2.3764246300561354			passed
test_biomass_precursors_open_production	Blocked Biomass Precursors In Complete Medium	test_biomass	0.0	0	lane122s000527_megahit	2.230205234955065			passed
test_biomass_presence	Biomass Reactions Identified	test_biomass	0.0	1	lane122s000527_megahit	0.000147518003359437			passed
test_biomass_specific_sbo_presence	Biomass Reactions SBO:0000629 Presence	annotation_sbo	0.0	0	lane122s000527_megahit	0.00015922903548926115	1.0	1.0	passed
test_blocked_reactions	Universally Blocked Reactions	gap_finding	0.01806853582554517	29	lane122s000527_megahit	3.648986055981368			failed
test_compartments_presence	Total Compartments	basic_info	0.0	3	lane122s000527_megahit	0.000607040012255311			passed
test_degrees_of_freedom	Degrees Of Freedom	matrix	0.308411214953271	495	lane122s000527_megahit	1.914757389924489			passed
test_demand_specific_sbo_presence	Demand Reaction SBO:0000628 Presence	annotation_sbo	1.0	0	lane122s000527_megahit	0.006791239022277296	0.0	1.0	skipped
test_detect_energy_generating_cycles-MNXM10	Erroneous Energy-generating Cycles - MNXM10	energy_metabolism			lane122s000527_megahit	9.050103835761547e-05			skipped
test_detect_energy_generating_cycles-MNXM121	Erroneous Energy-generating Cycles - MNXM121	energy_metabolism			lane122s000527_megahit	9.098800364881754e-05			skipped
test_detect_energy_generating_cycles-MNXM12233	Erroneous Energy-generating Cycles - MNXM12233	energy_metabolism			lane122s000527_megahit	9.103002957999706e-05			skipped
test_detect_energy_generating_cycles-MNXM191	Erroneous Energy-generating Cycles - MNXM191	energy_metabolism			lane122s000527_megahit	9.188009425997734e-05			skipped
test_detect_energy_generating_cycles-MNXM208	Erroneous Energy-generating Cycles - MNXM208	energy_metabolism			lane122s000527_megahit	8.710799738764763e-05			skipped
test_detect_energy_generating_cycles-MNXM21	Erroneous Energy-generating Cycles - MNXM21	energy_metabolism			lane122s000527_megahit	9.380700066685677e-05			skipped
test_detect_energy_generating_cycles-MNXM223	Erroneous Energy-generating Cycles - MNXM223	energy_metabolism			lane122s000527_megahit	8.335791062563658e-05			skipped
test_detect_energy_generating_cycles-MNXM3	Erroneous Energy-generating Cycles - MNXM3	energy_metabolism			lane122s000527_megahit	0.00012374389916658401			skipped
test_detect_energy_generating_cycles-MNXM38	Erroneous Energy-generating Cycles - MNXM38	energy_metabolism			lane122s000527_megahit	8.846400305628777e-05			skipped
test_detect_energy_generating_cycles-MNXM423	Erroneous Energy-generating Cycles - MNXM423	energy_metabolism			lane122s000527_megahit	8.728308603167534e-05			skipped
test_detect_energy_generating_cycles-MNXM51	Erroneous Energy-generating Cycles - MNXM51	energy_metabolism			lane122s000527_megahit	9.417603723704815e-05			skipped
test_detect_energy_generating_cycles-MNXM558	Erroneous Energy-generating Cycles - MNXM558	energy_metabolism			lane122s000527_megahit	9.159790351986885e-05			skipped
test_detect_energy_generating_cycles-MNXM6	Erroneous Energy-generating Cycles - MNXM6	energy_metabolism			lane122s000527_megahit	9.04829939827323e-05			skipped
test_detect_energy_generating_cycles-MNXM63	Erroneous Energy-generating Cycles - MNXM63	energy_metabolism			lane122s000527_megahit	9.899202268570662e-05			skipped
test_detect_energy_generating_cycles-MNXM7517	Erroneous Energy-generating Cycles - MNXM7517	energy_metabolism			lane122s000527_megahit	9.199697524309158e-05			skipped
test_detect_energy_generating_cycles-MNXM89557	Erroneous Energy-generating Cycles - MNXM89557	energy_metabolism			lane122s000527_megahit	9.150395635515451e-05			skipped
test_direct_metabolites_in_biomass	Ratio of Direct Metabolites in Biomass Reaction	test_biomass	0.17647058823529413	9	lane122s000527_megahit	0.09279575198888779			passed
test_essential_precursors_not_in_biomass	Number of Missing Essential Biomass Precursors	test_biomass	0.0196078431372549	1	lane122s000527_megahit	0.7514874630142003			failed
test_exchange_specific_sbo_presence	Exchange Reaction SBO:0000627 Presence	annotation_sbo	0.0	0	lane122s000527_megahit	0.0069277569418773055	1.0	1.0	failed
test_fast_growth_default	Unrealistic Growth Rate In Default Medium	test_biomass	0.0	1	lane122s000527_megahit	0.07765436905901879			passed
test_fbc_presence	FBC enabled	sbml_format	0.0	1	lane122s000527_megahit	9.944208431988955e-05			passed
test_find_constrained_pure_metabolic_reactions	Purely Metabolic Reactions with Constraints	basic_rxn	0.0	0	lane122s000527_megahit	0.0067853780928999186			passed
test_find_constrained_transport_reactions	Transport Reactions with Constraints	basic_rxn	0.00646551724137931	3	lane122s000527_megahit	0.0010478909825906157			passed
test_find_deadends	Dead-end Metabolites	gap_finding	0.0	0	lane122s000527_megahit	0.009923410951159894			failed
test_find_disconnected	Metabolite Connectivity	consistency	0.0	0	lane122s000527_megahit	0.000761053990572691	1.0	1.0	passed
test_find_duplicate_metabolites_in_compartments	Duplicate Metabolites in Identical Compartments	basic_met	0.0043782837127845885	5	lane122s000527_megahit	0.16408132400829345			failed
test_find_duplicate_reactions	Duplicate Reactions	basic_rxn	0.007476635514018692	6	lane122s000527_megahit	0.06631408806424588			failed
test_find_medium_metabolites	Medium Components	basic_met	1.0	183	lane122s000527_megahit	0.015650693094357848			failed
test_find_metabolites_not_consumed_with_open_bounds	Metabolite Consumption In Complete Medium	gap_finding	0.10507880910683012	120	lane122s000527_megahit	12.487858604989015			failed
test_find_metabolites_not_produced_with_open_bounds	Metabolite Production In Complete Medium	gap_finding	0.10507880910683012	120	lane122s000527_megahit	4.591716614901088			failed
test_find_orphans	Orphan Metabolites	gap_finding	0.0	0	lane122s000527_megahit	0.016114896978251636			passed
test_find_pure_metabolic_reactions	Purely Metabolic Reactions	basic_rxn	0.594392523364486	954	lane122s000527_megahit	0.017066158005036414			passed
test_find_reactions_unbounded_flux_default_condition	Unbounded Flux In Default Medium	consistency	0.4234375	271	lane122s000527_megahit	1.5332088520517573	0.5765625	1.0	failed
test_find_reactions_with_identical_genes	Reactions With Identical Genes	basic_rxn	0.4778816199376947	767	lane122s000527_megahit	0.5649197830352932			failed
test_find_reactions_with_partially_identical_annotations	Reactions With Partially Identical Annotations	basic_rxn	0.11775700934579439	92	lane122s000527_megahit	0.2488378449343145			failed
test_find_reversible_oxygen_reactions	Number of Reversible Oxygen-Containing Reactions	energy_metabolism	0.15625	5	lane122s000527_megahit	0.022481404012069106			passed
test_find_stoichiometrically_balanced_cycles	Stoichiometrically Balanced Cycles	gap_finding	0.0691588785046729	111	lane122s000527_megahit	2.695255706086755			failed
test_find_transport_reactions	Transport Reactions	basic_rxn	0.28909657320872273	464	lane122s000527_megahit	0.00036581698805093765			passed
test_find_unique_metabolites	Unique Metabolites	basic_met	1.0	1142	lane122s000527_megahit	0.17489209095947444			failed
test_gam_in_biomass	Growth-associated Maintenance in Biomass Reaction	energy_metabolism	0.0	1	lane122s000527_megahit	0.09743984101805836			passed
test_gene_essentiality_from_data_qualitative-experiment0	Gene Essentiality Prediction - experiment0	experimental			lane122s000527_megahit	0.0001495300093665719			skipped
test_gene_product_annotation_overview-asap	Gene Annotations Per Database - asap	annotation_gene	1.0	661	lane122s000527_megahit	0.0004587650764733553	0.0	1.0	failed
test_gene_product_annotation_overview-ccds	Gene Annotations Per Database - ccds	annotation_gene	1.0	661	lane122s000527_megahit	0.0005083479918539524	0.0	1.0	failed
test_gene_product_annotation_overview-ecogene	Gene Annotations Per Database - ecogene	annotation_gene	1.0	661	lane122s000527_megahit	0.00039576308336108923	0.0	1.0	failed
test_gene_product_annotation_overview-hprd	Gene Annotations Per Database - hprd	annotation_gene	1.0	661	lane122s000527_megahit	0.00041926000267267227	0.0	1.0	failed
test_gene_product_annotation_overview-kegg.genes	Gene Annotations Per Database - kegg.genes	annotation_gene	1.0	661	lane122s000527_megahit	0.00048138899728655815	0.0	1.0	failed
test_gene_product_annotation_overview-ncbigene	Gene Annotations Per Database - ncbigene	annotation_gene	1.0	661	lane122s000527_megahit	0.0005470189498737454	0.0	1.0	failed
test_gene_product_annotation_overview-ncbigi	Gene Annotations Per Database - ncbigi	annotation_gene	1.0	661	lane122s000527_megahit	0.0005348940612748265	0.0	1.0	failed
test_gene_product_annotation_overview-ncbiprotein	Gene Annotations Per Database - ncbiprotein	annotation_gene	1.0	661	lane122s000527_megahit	0.0005555390380322933	0.0	1.0	failed
test_gene_product_annotation_overview-refseq	Gene Annotations Per Database - refseq	annotation_gene	1.0	661	lane122s000527_megahit	0.00045724702067673206	0.0	1.0	failed
test_gene_product_annotation_overview-uniprot	Gene Annotations Per Database - uniprot	annotation_gene	1.0	661	lane122s000527_megahit	0.0004253470106050372	0.0	1.0	failed
test_gene_product_annotation_presence	Presence of Gene Annotation	annotation_gene	0.0	0	lane122s000527_megahit	0.000291032949462533	1.0	1.0	passed
test_gene_product_annotation_wrong_ids-asap	Gene Annotation Conformity Per Database - asap	annotation_gene	1.0	0	lane122s000527_megahit	0.00043996202293783426	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-ccds	Gene Annotation Conformity Per Database - ccds	annotation_gene	1.0	0	lane122s000527_megahit	0.00042403792031109333	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-ecogene	Gene Annotation Conformity Per Database - ecogene	annotation_gene	1.0	0	lane122s000527_megahit	0.0003467570059001446	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-hprd	Gene Annotation Conformity Per Database - hprd	annotation_gene	1.0	0	lane122s000527_megahit	0.0003694710321724415	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-kegg.genes	Gene Annotation Conformity Per Database - kegg.genes	annotation_gene	1.0	0	lane122s000527_megahit	0.0003613550215959549	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-ncbigene	Gene Annotation Conformity Per Database - ncbigene	annotation_gene	1.0	0	lane122s000527_megahit	0.0003912929678335786	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-ncbigi	Gene Annotation Conformity Per Database - ncbigi	annotation_gene	1.0	0	lane122s000527_megahit	0.0003611580468714237	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-ncbiprotein	Gene Annotation Conformity Per Database - ncbiprotein	annotation_gene	1.0	0	lane122s000527_megahit	0.0003756650257855654	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-refseq	Gene Annotation Conformity Per Database - refseq	annotation_gene	1.0	0	lane122s000527_megahit	0.0007181540131568909	0.0	1.0	failed
test_gene_product_annotation_wrong_ids-uniprot	Gene Annotation Conformity Per Database - uniprot	annotation_gene	1.0	0	lane122s000527_megahit	0.00040672102477401495	0.0	1.0	failed
test_gene_protein_reaction_rule_presence	Reactions without GPR	gpr_calculations	0.18442367601246107	296	lane122s000527_megahit	0.002289228024892509			failed
test_gene_sbo_presence	Gene General SBO Presence	annotation_sbo	0.0	0	lane122s000527_megahit	0.0008600929286330938	1.0	1.0	failed
test_gene_specific_sbo_presence	Gene SBO:0000243 Presence	annotation_sbo	0.0	0	lane122s000527_megahit	0.000793564016930759	1.0	1.0	failed
test_genes_presence	Total Genes	basic_info	1.0	661	lane122s000527_megahit	0.00020166905596852303			passed
test_growth_from_data_qualitative-experiment0	Growth Prediction - experiment0	experimental			lane122s000527_megahit	9.851797949522734e-05			skipped
test_inconsistent_min_stoichiometry	Minimal Inconsistent Net Stoichiometries	basic_info	0.0	0	lane122s000527_megahit	0.7607183480868116			passed
test_matrix_rank	Rank	matrix	0.6915887850467289	1110	lane122s000527_megahit	1.9591077930526808			passed
test_metabolic_coverage	Metabolic Coverage	basic_info	2.428139183055976	2	lane122s000527_megahit	0.00013500696513801813			passed
test_metabolic_reaction_specific_sbo_presence	Metabolic Reaction SBO:0000176 Presence	annotation_sbo	0.0010482180293501049	1	lane122s000527_megahit	0.001203909981995821	0.9989517819706499	1.0	failed
test_metabolite_annotation_overview-bigg.metabolite	Metabolite Annotations Per Database - bigg.metabolite	annotation_met	1.0	1142	lane122s000527_megahit	0.0009144220966845751	0.0	1.0	failed
test_metabolite_annotation_overview-biocyc	Metabolite Annotations Per Database - biocyc	annotation_met	0.1646234676007005	188	lane122s000527_megahit	0.0007444670191034675	0.8353765323992994	1.0	failed
test_metabolite_annotation_overview-chebi	Metabolite Annotations Per Database - chebi	annotation_met	0.18038528896672504	206	lane122s000527_megahit	0.0008032150799408555	0.819614711033275	1.0	failed
test_metabolite_annotation_overview-hmdb	Metabolite Annotations Per Database - hmdb	annotation_met	0.3423817863397548	391	lane122s000527_megahit	0.0007457060273736715	0.6576182136602452	1.0	failed
test_metabolite_annotation_overview-inchi	Metabolite Annotations Per Database - inchi	annotation_met	1.0	1142	lane122s000527_megahit	0.000916337943635881	0.0	1.0	failed
test_metabolite_annotation_overview-inchikey	Metabolite Annotations Per Database - inchikey	annotation_met	0.15499124343257442	177	lane122s000527_megahit	0.000760022085160017	0.8450087565674256	1.0	failed
test_metabolite_annotation_overview-kegg.compound	Metabolite Annotations Per Database - kegg.compound	annotation_met	0.23380035026269702	267	lane122s000527_megahit	0.0008705280488356948	0.7661996497373029	1.0	failed
test_metabolite_annotation_overview-metanetx.chemical	Metabolite Annotations Per Database - metanetx.chemical	annotation_met	0.005253940455341506	6	lane122s000527_megahit	0.0007249589543789625	0.9947460595446584	1.0	failed
test_metabolite_annotation_overview-pubchem.compound	Metabolite Annotations Per Database - pubchem.compound	annotation_met	1.0	1142	lane122s000527_megahit	0.0010223910212516785	0.0	1.0	failed
test_metabolite_annotation_overview-reactome	Metabolite Annotations Per Database - reactome	annotation_met	0.5700525394045534	651	lane122s000527_megahit	0.0008157319389283657	0.42994746059544664	1.0	failed
test_metabolite_annotation_overview-seed.compound	Metabolite Annotations Per Database - seed.compound	annotation_met	0.13222416812609458	151	lane122s000527_megahit	0.0007911379216238856	0.8677758318739054	1.0	failed
test_metabolite_annotation_presence	Presence of Metabolite Annotation	annotation_met	0.0	0	lane122s000527_megahit	0.0007900800555944443	1.0	1.0	passed
