genome;method;Type
lane122s000720_shovill.fa;shovill;Polymorphism
lane122s000542_bin.1.s.fa;metaGEM;Isolate
lane121s003979_bin.1.s.fa;metaGEM;Isolate
lane121s003968.fa;MEGAHIT;Isolate
lane122s000522_shovill.fa;shovill;Isolate
lane122s000515_shovill.fa;shovill;Isolate
lane122s000531_bin.1.o.fa;metaGEM;Isolate
lane122s000545_shovill.fa;shovill;Isolate
lane121s003996_shovill.fa;shovill;Isolate
lane121s003955_bin.1.s.fa;metaGEM;Isolate
lane122s000532_bin.1.p.fa;metaGEM;Isolate
lane821s003038_bin.1.o.fa;metaGEM;Deep_isolate
lane121s003977_shovill.fa;shovill;Isolate
lane122s000535_bin.1.p.fa;metaGEM;Isolate
lane122s000540_bin.1.p.fa;metaGEM;Isolate
lane122s000540_bin.2.p.fa;metaGEM;Isolate
lane121s003954_shovill.fa;shovill;Isolate
lane122s000539_shovill.fa;shovill;Isolate
lane122s000520_bin.1.p.fa;metaGEM;Isolate
lane122s000528_shovill.fa;shovill;Isolate
lane821s003040_bin.1.o.fa;metaGEM;Deep_isolate
lane121s003995_shovill.fa;shovill;Isolate
lane121s003972_shovill.fa;shovill;Isolate
lane121s003972_bin.2.s.fa;metaGEM;Isolate
lane121s003971_bin.1.s.fa;metaGEM;Isolate
lane122s000530_shovill.fa;shovill;Isolate
lane821s003037_bin.1.p.fa;metaGEM;Deep_isolate
lane121s003964.fa;MEGAHIT;Isolate
lane122s000544_bin.1.s.fa;metaGEM;Isolate
lane121s003984_bin.1.p.fa;metaGEM;Isolate
lane821s003041_shovill.fa;shovill;Deep_isolate
lane821s003036_shovill.fa;shovill;Deep_isolate
lane122s000529.fa;MEGAHIT;Isolate
lane122s000527.fa;MEGAHIT;Isolate
lane122s000538_bin.1.p.fa;metaGEM;Isolate
lane121s003963_shovill.fa;shovill;Isolate
lane121s003965_shovill.fa;shovill;Isolate
lane122s000525_bin.1.p.fa;metaGEM;Isolate
lane122s000517_bin.1.p.fa;metaGEM;Isolate
lane122s000517_bin.2.s.fa;metaGEM;Isolate
lane121s003962.fa;MEGAHIT;Isolate
lane121s003960_shovill.fa;shovill;Isolate
lane121s003986.fa;MEGAHIT;Isolate
lane122s000533_10.p.fa;metaGEM;Isolate
lane122s000541_shovill.fa;shovill;Isolate
lane122s000519_bin.1.s.fa;metaGEM;Isolate
lane122s000519_bin.2.s.fa;metaGEM;Isolate
lane122s000519_bin.3.s.fa;metaGEM;Isolate
lane122s000536.fa;MEGAHIT;Isolate
lane122s000521_bin.1.s.fa;metaGEM;Isolate
lane122s000521_bin.2.p.fa;metaGEM;Isolate
lane821s003042_shovill.fa;shovill;Deep_isolate
lane122s000516_shovill.fa;shovill;Isolate
lane122s000534.fa;MEGAHIT;Isolate
lane122s000537_shovill.fa;shovill;Isolate
lane821s003035_bin.1.p.fa;metaGEM;Deep_isolate
lane821s003043_bin.1.s.fa;metaGEM;Deep_isolate
lane121s003976_shovill.fa;shovill;Isolate
lane121s003951_bin.1.p.fa;metaGEM;Isolate
lane122s000721_shovill.fa;shovill;Polymorphism
lane121s003980.fa;MEGAHIT;Isolate
lane121s003953_shovill.fa;shovill;Isolate
lane122s000543_bin.1.p.fa;metaGEM;Isolate
lane121s003978_shovill.fa;shovill;Isolate
lane122s000518_bin.1.p.fa;metaGEM;Isolate
lane122s000524_shovill.fa;shovill;Isolate
lane821s003044_shovill.fa;shovill;Deep_isolate
lane122s000523_bin.1.p.fa;metaGEM;Isolate
lane121s003958_shovill.fa;shovill;Isolate
lane121s003952.fa;MEGAHIT;Isolate
