community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_acald_e	1.0	0.05	1	0.05
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_actn__R_e	1.0	0.11	1	0.11
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_fe3_e	1.0	1.0	1	1.0
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_h2o_e	1.0	0.08	1	0.08
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_h2s_e	1.0	0.91	1	0.91
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_h_e	1.0	0.2	1	0.2
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_rib__D_e	1.0	0.01	1	0.01
all	minimal	lane122s000607_bin.1.p	lane122s000538_bin.1.p	M_s_e	1.0	0.13	1	0.13
all	minimal	lane122s000607_bin.2.p	lane122s000538_bin.1.p	M_acald_e	0.5	0.01	1	0.005
all	minimal	lane122s000607_bin.2.p	lane122s000538_bin.1.p	M_fe3_e	0.5	0.24	1	0.12
all	minimal	lane122s000607_bin.2.p	lane122s000538_bin.1.p	M_h2s_e	0.5	0.41	1	0.205
all	minimal	lane122s000607_bin.2.p	lane122s000538_bin.1.p	M_h_e	0.5	0.01	1	0.005
all	minimal	lane122s000607_bin.2.p	lane122s000538_bin.1.p	M_s_e	0.5	0.66	1	0.33
all	minimal	lane122s000607_bin.2.p	lane122s000607_bin.1.p	M_acald_e	0.5	0.01	1	0.005
all	minimal	lane122s000607_bin.2.p	lane122s000607_bin.1.p	M_fe3_e	0.5	0.24	1	0.12
all	minimal	lane122s000607_bin.2.p	lane122s000607_bin.1.p	M_h2s_e	0.5	0.41	1	0.205
all	minimal	lane122s000607_bin.2.p	lane122s000607_bin.1.p	M_h_e	0.5	0.01	1	0.005
all	minimal	lane122s000607_bin.2.p	lane122s000607_bin.1.p	M_ppap_e	0.5	0.14	1	0.07
all	minimal	lane122s000607_bin.2.p	lane122s000607_bin.1.p	M_s_e	0.5	0.66	1	0.33
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_acglu_e	1.0	1.0	1	1.0
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_bz_e	1.0	0.41	1	0.41
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_fe3_e	1.0	0.03	1	0.03
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_glyc_e	1.0	0.01	1	0.01
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_h2o_e	1.0	0.1	1	0.1
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_h2s_e	1.0	0.26	1	0.26
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_h_e	1.0	0.04	1	0.04
all	minimal	lane122s000607_bin.3.o	lane122s000607_bin.1.p	M_s_e	1.0	0.76	1	0.76
