community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_acald_e	1.0	0.1	1	0.1
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_cgly_e	1.0	0.02	1	0.02
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_fe3_e	1.0	0.01	1	0.01
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_for_e	1.0	0.01	1	0.01
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_glyc_e	1.0	0.68	1	0.68
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_h2o_e	1.0	0.02	1	0.02
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_h2s_e	1.0	0.36	1	0.36
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_h_e	1.0	0.15	1	0.15
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_nh4_e	1.0	0.64	1	0.64
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_pi_e	1.0	0.81	1	0.81
all	minimal	lane121s003952_megahit	lane122s000521_bin.2.p	M_s_e	1.0	0.54	1	0.54
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_acald_e	1.0	0.1	1	0.1
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_etha_e	1.0	0.23	1	0.23
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_etoh_e	1.0	0.09	1	0.09
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_fe3_e	1.0	1.0	1	1.0
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_glyc_e	1.0	0.38	1	0.38
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_h2s_e	1.0	0.05	1	0.05
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_h_e	1.0	0.04	1	0.04
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_nh4_e	1.0	0.6	1	0.6
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_pi_e	1.0	0.4	1	0.4
all	minimal	lane121s003953_shovill	lane122s000521_bin.2.p	M_s_e	1.0	0.93	1	0.93
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_acald_e	1.0	0.24	1	0.24
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_fe3_e	1.0	0.15	1	0.15
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_glyc_e	1.0	0.67	1	0.67
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_h2s_e	1.0	0.08	1	0.08
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_h_e	1.0	0.13	1	0.13
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_nh4_e	1.0	0.82	1	0.82
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_pi_e	1.0	0.72	1	0.72
all	minimal	lane121s003954_shovill	lane122s000521_bin.2.p	M_s_e	1.0	0.14	1	0.14
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_acald_e	1.0	0.79	1	0.79
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_etha_e	1.0	0.12	1	0.12
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_fe3_e	1.0	1.0	1	1.0
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_glu__L_e	1.0	0.02	1	0.02
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_glyc_e	1.0	1.0	1	1.0
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_h2s_e	1.0	0.19	1	0.19
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_h_e	1.0	0.06	1	0.06
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_nh4_e	1.0	0.71	1	0.71
all	minimal	lane121s003960_shovill	lane122s000521_bin.2.p	M_pi_e	1.0	0.99	1	0.99
all	minimal	lane121s003964_megahit	lane122s000521_bin.1.s	M_acald_e	0.5	0.11	1	0.055
all	minimal	lane121s003964_megahit	lane122s000521_bin.1.s	M_etoh_e	0.5	0.05	1	0.025
