Preferred_name	0	1	change	fc	p.adj
4CL	0.5555555555555556	0.0196078431372549	depleted in auxo	0.03529411764705882	0.0017
DHRS	0.3333333333333333	0.0196078431372549	depleted in auxo	0.058823529411764705	0.038
LMF	0.5555555555555556	0.11764705882352941	depleted in auxo	0.21176470588235294	0.047
PPA1328	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
abaB2	0.2222222222222222	0	depleted in auxo	0	0.038
accD1	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
aceE_1	0.2222222222222222	0	depleted in auxo	0	0.038
acx	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
agcS_1	0.5555555555555556	0.0196078431372549	depleted in auxo	0.03529411764705882	0.0017
alcA	0.3333333333333333	0	depleted in auxo	0	0.013
alcC	0.3333333333333333	0	depleted in auxo	0	0.013
aldC	0.5555555555555556	0.0392156862745098	depleted in auxo	0.07058823529411765	0.0088
amnC	0.2222222222222222	0	depleted in auxo	0	0.038
apeB	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
appCC	0.3333333333333333	0.0196078431372549	depleted in auxo	0.058823529411764705	0.038
ask	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
aspC	1.2222222222222223	0.1568627450980392	depleted in auxo	0.1283422459893048	0.047
atsD	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
bccA	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
bfmM	0.6666666666666666	0.0196078431372549	depleted in auxo	0.029411764705882353	0.038
bgl2	0.3333333333333333	0.0196078431372549	depleted in auxo	0.058823529411764705	0.038
bglX	0.6666666666666666	0.13725490196078433	depleted in auxo	0.2058823529411765	0.038
bioD	0	0.6078431372549019	enriched in auxo	Inf	0.041
carD	0.7777777777777778	0.21568627450980393	depleted in auxo	0.2773109243697479	0.038
catR	0.5555555555555556	0.09803921568627451	depleted in auxo	0.1764705882352941	0.038
cbrD	0.3333333333333333	0.0196078431372549	depleted in auxo	0.058823529411764705	0.038
chiS	0.7777777777777778	0.13725490196078433	depleted in auxo	0.17647058823529413	0.039
chlI	0.3333333333333333	0.0196078431372549	depleted in auxo	0.058823529411764705	0.038
clgR	0.8888888888888888	0.1568627450980392	depleted in auxo	0.17647058823529413	0.039
cmr	0.5555555555555556	0.11764705882352941	depleted in auxo	0.21176470588235294	0.047
cmtR	0.2222222222222222	0	depleted in auxo	0	0.038
cofC	0.6666666666666666	0.0784313725490196	depleted in auxo	0.11764705882352941	0.01
cofD	0.6666666666666666	0.0784313725490196	depleted in auxo	0.11764705882352941	0.01
