medium	description	compound	name
MMAB	Ghada soil sample cultivation media	fru	D-Fructose
MMAB	Ghada soil sample cultivation media	h2o	water
MMAB	Ghada soil sample cultivation media	arg__L	L-Arginine
MMAB	Ghada soil sample cultivation media	ile__L	L-Isoleucine
MMAB	Ghada soil sample cultivation media	leu__L	L-Leucine
MMAB	Ghada soil sample cultivation media	val__L	L-Valine
MMAB	Ghada soil sample cultivation media	ribflv	Riboflavin (B2)
MMAB	Ghada soil sample cultivation media	cbl1	Cobalamin (B12)
MMAB	Ghada soil sample cultivation media	thm	Thiamin (B1)
MMAB	Ghada soil sample cultivation media	pydxn	Pyridoxine (B6)
MMAB	Ghada soil sample cultivation media	btn	Biotin (B7)
MMAB	Ghada soil sample cultivation media	ade	Adenine
MMAB	Ghada soil sample cultivation media	ura	Uracil
MMAB	Ghada soil sample cultivation media	csn	Cytosine
MMAB	Ghada soil sample cultivation media	thym	Thymine
MMAB	Ghada soil sample cultivation media	k	Potassium
MMAB	Ghada soil sample cultivation media	pi	Phosphate
MMAB	Ghada soil sample cultivation media	h2	Hydrogen
MMAB	Ghada soil sample cultivation media	na1	Sodium
MMAB	Ghada soil sample cultivation media	cl	Chloride
MMAB	Ghada soil sample cultivation media	nh4	Ammonium
MMAB	Ghada soil sample cultivation media	mg2	Magnesium
MMAB	Ghada soil sample cultivation media	so4	Sulfate
MMAB	Ghada soil sample cultivation media	ca2	Calcium
MMAB	Ghada soil sample cultivation media	fe	Iron
MMAB	Ghada soil sample cultivation media	fe2	Fe2+
MMAB	Ghada soil sample cultivation media	fe3	Fe3+
MMAB	Ghada soil sample cultivation media	cobalt2	Co2+
MMAB	Ghada soil sample cultivation media	cu2	Cu2+
MMAB	Ghada soil sample cultivation media	mn2	Mn2+
MMAB	Ghada soil sample cultivation media	mobd	Molybdate
MMAB	Ghada soil sample cultivation media	ni2	Ni2+
MMAB	Ghada soil sample cultivation media	zn2	Zn2+
MMAB	Ghada soil sample cultivation media	o2	O2
