query	reference	seqid	len	mismatch	gap	query_start	query_end	target_start	target_end	eval	bitscore
IS1R	lane121s003972_bin.2.s_NODE_208_length_3991_cov_2.763924_4	94.1	85	5	0	1	85	1	85	3.00E-53	169
IS1R	lane122s000607_bin.1.p_NODE_108_length_6839_cov_1.572907_4	37.6	242	135	5	1	227	1	241	1.74E-46	157
IS1R	lane122s000607_bin.1.p_NODE_2279_length_1393_cov_0.946049_2	36.7	245	132	5	1	227	1	240	8.44E-44	150
IS1R	lane121s003972_bin.2.s_NODE_208_length_3991_cov_2.763924_3	98.6	69	1	0	164	232	1	69	3.52E-42	140
IS1R	lane122s000607_bin.1.p_NODE_1140_length_2436_cov_3.246715_2	36.8	220	117	3	26	227	1	216	9.59E-40	139
IS1R	lane122s000607_bin.1.p_NODE_529_length_3841_cov_4.943677_3	36.4	209	118	5	1	195	1	208	4.26E-34	124
IS1R	lane122s000605_bin.3.p_NODE_2261_length_528_cov_1.137472_1	38.6	140	82	1	84	219	6	145	5.36E-28	106
IS1R	lane122s000607_bin.1.p_NODE_816_length_3038_cov_1.730159_2	37.2	129	64	2	54	167	25	151	2.95E-18	81.3
IS1R	lane122s000607_bin.1.p_NODE_690_length_3317_cov_1.703086_3	40.4	89	53	0	139	227	1	89	7.05E-17	75.9
IS1R	lane122s000607_bin.1.p_NODE_829_length_2984_cov_1.630547_2	25.4	232	158	7	8	226	7	236	4.66E-16	77.4
IS1R	lane122s000607_bin.1.p_NODE_1481_length_2071_cov_2.055667_1	26.7	240	155	8	3	226	2	236	6.45E-16	77
IS1R	lane122s000607_bin.1.p_NODE_26_length_10337_cov_2.524464_11	45.3	75	41	0	153	227	8	82	4.86E-14	68.2
IS1R	lane122s000607_bin.1.p_NODE_1112_length_2482_cov_2.009563_4	25.4	236	153	9	8	226	10	239	6.18E-14	71.6
IS1R	lane122s000607_bin.1.p_NODE_1349_length_2209_cov_2.056754_1	28	211	132	6	17	219	1	199	1.07E-13	70.5
IS1R	lane122s000607_bin.1.p_NODE_3183_length_531_cov_1.085903_2	45.9	61	33	0	112	172	2	62	1.78E-12	63.2
IS1R	lane122s000605_bin.3.p_NODE_1911_length_1059_cov_0.792261_1	45.6	68	33	2	8	72	9	75	3.52E-12	62.8
IS1R	lane122s000607_bin.1.p_NODE_690_length_3317_cov_1.703086_2	39.8	83	45	2	8	86	8	89	4.17E-12	63.2
IS1R	lane122s000607_bin.1.p_NODE_466_length_4088_cov_1.273747_2	30.4	125	82	3	107	226	18	142	1.57E-10	60.5
IS1R	lane122s000605_bin.3.p_NODE_707_length_2872_cov_1.433274_2	33.3	93	62	0	112	204	2	94	3.12E-10	58.2
IS1R	lane122s000605_bin.3.p_NODE_1911_length_1059_cov_0.792261_2	48	50	26	0	106	155	17	66	2.83E-08	52
IS1R	lane122s000605_bin.3.p_NODE_1292_length_1939_cov_2.209989_3	29	93	61	3	107	194	50	142	6.07E-05	44.7
IS1R	lane122s000605_bin.3.p_NODE_749_length_2749_cov_1.562500_2	35	60	35	1	84	139	6	65	9.32E-05	42.4
ISMysp1	lane122s000602_bin.1.o_k141_331675-flag_1-multi_2.0000-len_1795_1	29	324	218	6	5	319	2	322	1.01E-17	89.4
ISMysp1	lane122s000602_bin.1.o_k141_711159-flag_0-multi_3.9556-len_1763_2	27.7	329	216	7	5	319	2	322	9.82E-17	86.3
ISMysp1	lane122s000607_bin.3.o_k141_477067-flag_1-multi_2.0000-len_2615_3	29.6	334	201	8	6	319	1	320	5.51E-15	80.9
ISMysp1	lane122s000602_bin.1.o_k141_478126-flag_0-multi_4.9893-len_4610_3	28.2	305	209	5	23	318	5	308	9.01E-13	73.9
ISMysp1	lane122s000606_bin.1.o_k141_663157-flag_1-multi_4.0000-len_1824_2	25.7	338	198	8	7	318	10	320	1.29E-11	70.5
ISMysp1	lane122s000607_bin.1.p_NODE_502_length_3954_cov_2.653598_1	26.2	332	218	6	7	319	15	338	2.24E-10	66.6
ISMysp1	lane122s000602_bin.1.o_k141_626235-flag_1-multi_4.9295-len_6026_6	26.9	320	222	5	4	318	14	326	1.26E-09	64.3
ISMysp1	lane122s000605_bin.3.p_NODE_1944_length_983_cov_2.196468_1	28.5	235	148	4	100	319	48	277	8.86E-08	57.4
