genome	count	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	Quality	Sample_ID	Codes	Habitats	Sites	AAs_auxo	Vitamin_auxo	Nucleotide_auxo	Species_16S	Type	contigs	size	count_norm
lane121s003951_bin.1.p	3824	o__Actinomycetales (UID1593)	69	400	198	2	396	2	0	0	0	98.99	0.67	0	HQ	lane121s003951	2A	Meadow	Meadow_1	Prototroph	1	0	M10A 99 Microbacterium yannicii	Isolate	43	4496250	850.4865165415624
lane121s003952_megahit	5549	g__Bacillus (UID901)	46	1082	303	3	1075	4	0	0	0	99.01	0.53	0	HQ	lane121s003952	2B	NA	NA	Not assayed	NA	NA	NA	Isolate	106	5933951	935.1273712910673
lane121s003953_shovill	4787	c__Bacilli (UID259)	750	275	151	1	271	3	0	0	0	99.34	0.77	0	HQ	lane121s003953	2C	Meadow	Meadow_2	Auxotroph	0	0	M20A 119 Lysinibacillus pakistanensis	Isolate	122	5134927	932.2430484406108
lane121s003954_shovill	3634	g__Bacillus (UID864)	93	711	241	1	709	1	0	0	0	99.59	0.21	0	HQ	lane121s003954	2D	Meadow	Meadow_2	Auxotroph	0	0	M20A 101 Bacillus pumilus	Isolate	93	3684254	986.3597895259122
lane121s003955_bin.1.s	4109	o__Actinomycetales (UID1593)	69	400	198	2	397	1	0	0	0	99.24	0.51	0	HQ	lane121s003955	2E	Meadow	Meadow_1	Auxotroph	0	0	M10A 133 Microbacterium yannicii	Isolate	57	4762446	862.7919350686601
lane121s003958_shovill	5045	f__Paenibacillaceae (UID973)	32	468	170	1	466	1	0	0	0	99.85	0.02	0	HQ	lane121s003958	3A	Meadow	Meadow_1	Auxotroph	0	0	M10B 21 Paenibacillus peoriae	Isolate	238	5898379	855.3197412373806
lane121s003960_shovill	4527	c__Bacilli (UID259)	750	275	151	1	270	4	0	0	0	99.34	1.43	0	HQ	lane121s003960	3C	Meadow	Meadow_2	Auxotroph	0	0	M20A 145 Lysinibacillus pakistanensis	Isolate	197	5011676	903.2906357074959
lane121s003962_megahit	5544	c__Alphaproteobacteria (UID3305)	564	349	230	26	319	4	0	0	0	92.61	0.92	25	HQ	lane121s003962	3E	Conifer forest	F3	Auxotroph	0	0	F3B 10 Phyllobacterium bourgognense	Isolate	1337	5150266	1076.4492552423505
lane121s003963_shovill	5654	f__Paenibacillaceae (UID973)	32	468	170	1	466	1	0	0	0	99.85	0.1	0	HQ	lane121s003963	3G	Deciduous forest	F8	Auxotroph	0	0	F8A 26 Paenibacillus borealis	Isolate	133	6600854	856.555833533055
lane121s003964_megahit	3814	f__Bacillaceae (UID829)	128	561	183	2	556	3	0	0	0	98.91	0.96	0	HQ	lane121s003964	3I	Meadow	Meadow_2	Auxotroph	0	0	M20A 265 Enterobacter cloacae	Isolate	24	4041671	943.6690913238608
lane121s003965_shovill	5553	g__Bacillus (UID901)	46	1082	303	3	1075	4	0	0	0	99.01	0.53	0	HQ	lane121s003965	3II	Conifer forest	F3	Not assayed	NA	NA	F3C 189 did not work	Isolate	128	5954969	932.4985570873669
lane121s003968_megahit	5482	g__Bacillus (UID901)	46	1082	303	2	1075	5	0	0	0	99.34	0.53	0	HQ	lane121s003968	3N	Conifer forest	F3	Auxotroph	0	0	F3A 6 Bacillus mycoides	Isolate	77	5900310	929.1037250585139
lane121s003971_bin.1.s	5191	g__Bacillus (UID901)	46	1082	303	6	1069	7	0	0	0	98.49	0.62	14.29	HQ	lane121s003971	3J	Deciduous forest	F8	Auxotroph	0	0	F8B 103 Bacillus mycoides / Bacillus weihenstephanensis	Isolate	185	5426754	956.5570873490857
lane121s003972_bin.2.s	4315	f__Enterobacteriaceae (UID5124)	134	1173	336	209	931	33	0	0	0	82.69	2.6	18.18	MQ	lane121s003972	4A	Conifer forest	F5	Auxotroph	0	0	F5C 79 Bacillus subtilis	Isolate	1354	3505298	1230.9937700018656
lane121s003972_shovill	3940	g__Bacillus (UID865)	36	1200	269	1	1194	5	0	0	0	99.81	0.62	0	HQ	lane121s003972	4A	Conifer forest	F5	Auxotroph	0	0	F5C 79 Bacillus subtilis	Isolate	66	4120637	956.1628456959446
lane121s003976_shovill	4772	f__Paenibacillaceae (UID973)	32	468	170	1	467	0	0	0	0	99.85	0	0	HQ	lane121s003976	4E	Meadow	Meadow_3	Auxotroph	0	0	M30C 77 Paenibacillus terrae	Isolate	272	5097820	936.086405561593
lane121s003977_shovill	4771	f__Paenibacillaceae (UID973)	32	468	170	1	467	0	0	0	0	99.85	0	0	HQ	lane121s003977	4F	Meadow	Meadow_1	Not assayed	NA	NA	M10C 60 Rhizobium azooxidifex	Isolate	276	5098706	935.7276140259901
lane121s003978_shovill	5365	g__Bacillus (UID901)	46	1082	303	4	1074	4	0	0	0	98.68	0.5	0	HQ	lane121s003978	4G	Meadow	Meadow_3	Auxotroph	0	0	M30C 31did not work	Isolate	207	5601483	957.7820730688641
lane121s003979_bin.1.s	5198	g__Bacillus (UID901)	46	1082	303	4	1074	4	0	0	0	98.68	0.67	0	HQ	lane121s003979	4I	Meadow	Meadow_3	Auxotroph	0	0	M30C 97 Bacillus mycoides / Bacillus weihenstephanensis	Isolate	64	5463351	951.4307244766079
lane121s003980_megahit	5227	g__Bacillus (UID901)	46	1082	303	4	1074	4	0	0	0	98.68	0.67	0	HQ	lane121s003980	4J	Conifer forest	F5	Auxotroph	0	0	F5B 133 Luteibacter rhizovicinus	Isolate	88	5483554	953.2139192939469
lane121s003984_bin.1.p	4002	f__Xanthomonadaceae (UID4214)	55	659	290	1	649	9	0	0	0	99.66	1.54	0	HQ	lane121s003984	4N	Conifer forest	F5	Auxotroph	0	0	F5B 26 Luteibacter rhizovicinus	Isolate	17	4853779	824.5121996695771
lane121s003986_megahit	4012	f__Xanthomonadaceae (UID4214)	55	659	290	1	649	9	0	0	0	99.66	1.54	0	HQ	lane121s003986	4P	Conifer forest	F5	Auxotroph	0	0	F5B 26 Luteibacter rhizovicinus	Isolate	39	4859604	825.5816729099737
lane121s003995_shovill	5559	f__Rhizobiaceae (UID3563)	81	808	337	10	794	4	0	0	0	98.37	0.26	0	HQ	lane121s003995	4Q	Meadow	Meadow_2	Prototroph	1	0	M20C 24 Rhizobium	Isolate	119	6285161	884.4642165888829
lane121s003996_shovill	3768	g__Bacillus (UID864)	93	711	241	1	709	1	0	0	0	99.59	0.21	0	HQ	lane121s003996	4R	Meadow	Meadow_3	Auxotroph	0	0	M30A 76 Bacillus sp.	Isolate	45	3829796	983.8644147103397
lane122s000515_shovill	3690	g__Bacillus (UID864)	93	711	241	1	709	1	0	0	0	99.59	0.21	0	HQ	lane122s000515	9M	Meadow	Meadow_2	Auxotroph	0	0	M20A 228 Bacillus pumilus	Isolate	40	3752239	983.4128369754699
lane122s000516_shovill	3342	c__Bacilli (UID259)	750	276	152	1	273	2	0	0	0	99.34	0.44	0	HQ	lane122s000516	11G	Deciduous forest	F8	Auxotroph	0	0	F8B 92 Kocuria rhizophila	Isolate	58	3579197	933.7289900500028
lane122s000517_bin.1.p	3720	g__Bacillus (UID864)	93	711	241	1	710	0	0	0	0	99.59	0	0	HQ	lane122s000517	11F	Meadow	Meadow_3	Prototroph	1	0	M30C 132 Phyllobacterium brassicacearum	Isolate	21	3758990	989.6275329277279
lane122s000517_bin.2.s	4531	c__Alphaproteobacteria (UID3305)	564	349	230	2	347	0	0	0	0	99.13	0	0	HQ	lane122s000517	11F	Meadow	Meadow_3	Prototroph	1	0	M30C 132 Phyllobacterium brassicacearum	Isolate	28	5086001	890.8767418645808
lane122s000518_bin.1.p	3830	o__Actinomycetales (UID1593)	69	400	198	2	396	2	0	0	0	98.99	0.67	0	HQ	lane122s000518	11C	Meadow	Meadow_1	Prototroph	1	0	M10A 100 Microbacterium yannicii	Isolate	36	4500373	851.0405693039221
lane122s000519_bin.1.s	3479	f__Bacillaceae (UID829)	128	561	183	15	544	2	0	0	0	96.72	0.57	0	HQ	lane122s000519	8R	NA	NA	Not assayed	NA	NA	NA	Isolate	103	3726516	933.5797833687014
lane122s000519_bin.2.s	3675	g__Bacillus (UID864)	93	711	241	1	710	0	0	0	0	99.59	0	0	HQ	lane122s000519	8R	NA	NA	Not assayed	NA	NA	NA	Isolate	29	3706618	991.4698520322299
lane122s000519_bin.3.s	4532	c__Alphaproteobacteria (UID3305)	564	349	230	2	347	0	0	0	0	99.13	0	0	HQ	lane122s000519	8R	NA	NA	Not assayed	NA	NA	NA	Isolate	32	5085504	891.1604434880004
lane122s000520_bin.1.p	5087	f__Rhizobiaceae (UID3563)	81	808	337	34	765	9	0	0	0	97.17	0.96	0	HQ	lane122s000520	5Z	Meadow	Meadow_1	Auxotroph	0	0	M10C 60 Rhizobium azooxidifex	Isolate	142	5568930	913.4609341471341
lane122s000521_bin.1.s	5656	g__Bacillus (UID901)	46	1082	303	2	1076	4	0	0	0	99.34	0.43	0	HQ	lane122s000521	8Y	Meadow	Meadow_2	Auxotroph	1	0	M20A 25 did not work	Isolate	59	6115284	924.8957202968824
lane122s000521_bin.2.p	5769	f__Rhizobiaceae (UID3564)	78	840	354	6	831	3	0	0	0	99.15	0.45	0	HQ	lane122s000521	8Y	Meadow	Meadow_2	Auxotroph	1	0	M20A 25 did not work	Isolate	44	6223298	927.0004425306324
