seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
lane122s000520_bin.1.p_NODE_87_length_11534_cov_8.397835	11534	No terminal repeats	NA	16	11	0.9990	0.0010	10	22.5064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_421784-flag_1-multi_3.0000-len_3685	3685	No terminal repeats	NA	6	11	0.9990	0.0010	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_401068-flag_1-multi_4.0000-len_5900	5900	No terminal repeats	NA	6	11	0.9990	0.0010	2	8.1718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000603_bin.1.o_k141_241316-flag_1-multi_3.8160-len_7773	7773	No terminal repeats	NA	10	11	0.9990	0.0010	4	13.4008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_248454-flag_1-multi_1.7693-len_4003	4003	No terminal repeats	NA	8	11	0.9990	0.0010	5	10.2519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.4.o_k141_168670-flag_1-multi_2.9874-len_12220	12220	No terminal repeats	NA	25	11	0.9990	0.0010	6	19.6704	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000607_bin.1.p_NODE_250_length_5224_cov_2.267146	5224	No terminal repeats	NA	3	11	0.9990	0.0010	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.4.o_k141_392721-flag_1-multi_3.9963-len_9829	9829	No terminal repeats	NA	11	11	0.9989	0.0010	3	11.9809	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.2.s_NODE_297_length_4034_cov_2.400051	4034	No terminal repeats	NA	3	11	0.9989	0.0010	0	4.6147	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883	2883	No terminal repeats	NA	6	11	0.9989	0.0010	3	8.9167	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.4.o_k141_388282-flag_1-multi_6.0000-len_13426	13426	No terminal repeats	NA	14	11	0.9989	0.0010	5	16.5477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_150317-flag_1-multi_4.0000-len_3983	3983	No terminal repeats	NA	9	11	0.9989	0.0010	5	10.8635	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.3.s_NODE_16_length_16643_cov_4.140408	16643	No terminal repeats	NA	15	11	0.9989	0.0010	4	20.9854	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003971_bin.1.s_NODE_26_length_4358_cov_5.435412	4358	No terminal repeats	NA	10	11	0.9989	0.0010	1	10.0103	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_95218-flag_1-multi_3.0000-len_3425	3425	No terminal repeats	NA	4	11	0.9989	0.0011	0	6.0723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.2.s_NODE_357_length_3571_cov_2.607899	3571	No terminal repeats	NA	3	11	0.9989	0.0011	1	5.0030	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.2.s_NODE_314_length_3902_cov_1.589542	3902	No terminal repeats	NA	4	11	0.9989	0.0011	0	5.7961	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.6.o_k141_176771-flag_1-multi_4.0000-len_4381	4381	No terminal repeats	NA	5	11	0.9989	0.0011	0	6.8585	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_474365-flag_0-multi_6.6006-len_7842	7842	No terminal repeats	NA	11	11	0.9989	0.0011	0	9.7117	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane821s003041_shovill_contig00027	61325	DTR	NA	98	11	0.9989	0.0011	16	79.1980	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003953_shovill_contig00026	61325	DTR	NA	98	11	0.9989	0.0011	16	77.4797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_204814-flag_1-multi_3.0000-len_3729	3729	No terminal repeats	NA	3	11	0.9989	0.0011	2	4.8722	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_333192-flag_1-multi_3.0000-len_5988	5988	No terminal repeats	NA	12	11	0.9989	0.0011	3	11.3148	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_455275-flag_1-multi_3.0000-len_3533	3533	No terminal repeats	NA	6	11	0.9989	0.0011	3	8.1084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_232688-flag_0-multi_14.0000-len_13467	13467	No terminal repeats	NA	16	11	0.9989	0.0011	0	16.8714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane821s003041_shovill_contig00001|provirus_85490_111775	26286	Provirus	85490-111775	33	11	0.9989	0.0011	11	46.1387	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003953_shovill_contig00002|provirus_85490_111775	26286	Provirus	85490-111775	33	11	0.9989	0.0011	11	46.1387	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003972_bin.2.s_NODE_243_length_3682_cov_2.010264	3682	No terminal repeats	NA	6	11	0.9989	0.0011	4	9.2891	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_176979-flag_1-multi_2.0000-len_3052	3052	No terminal repeats	NA	4	11	0.9989	0.0011	3	6.4329	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_109214-flag_1-multi_3.0000-len_3591	3591	No terminal repeats	NA	7	11	0.9989	0.0011	2	7.2013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.6.o_k141_245925-flag_1-multi_3.0000-len_3145	3145	No terminal repeats	NA	4	11	0.9989	0.0011	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003972_bin.2.s_NODE_2_length_13512_cov_2.947451|provirus_3_4225	4223	Provirus	3-4225	7	11	0.9989	0.0011	2	8.3663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_511928-flag_1-multi_4.0000-len_5781	5781	No terminal repeats	NA	5	11	0.9989	0.0011	1	7.2612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.2.s_NODE_238_length_4562_cov_2.076700	4562	No terminal repeats	NA	8	11	0.9989	0.0011	0	8.9665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_472927-flag_1-multi_3.0000-len_2589	2589	No terminal repeats	NA	5	11	0.9988	0.0011	5	7.9266	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_260371-flag_1-multi_3.0000-len_6075	6075	No terminal repeats	NA	11	11	0.9988	0.0011	1	7.5182	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.1.o_k141_483366-flag_0-multi_2.8834-len_3280	3280	No terminal repeats	NA	5	11	0.9988	0.0011	0	6.3849	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.1.o_k141_515532-flag_1-multi_5.0000-len_5103	5103	No terminal repeats	NA	8	11	0.9988	0.0011	0	10.8512	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003971_bin.1.s_NODE_28_length_2572_cov_1.851303	2572	No terminal repeats	NA	5	11	0.9988	0.0011	3	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_364261-flag_1-multi_3.0000-len_5882	5882	No terminal repeats	NA	11	11	0.9988	0.0011	3	10.5817	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_529593-flag_0-multi_1.9969-len_3979	3979	No terminal repeats	NA	7	11	0.9988	0.0011	1	8.2737	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_36582-flag_1-multi_5.0000-len_8013	8013	No terminal repeats	NA	11	11	0.9988	0.0011	2	10.7173	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000603_bin.1.o_k141_94798-flag_1-multi_5.0000-len_7134	7134	No terminal repeats	NA	14	11	0.9988	0.0011	4	11.2555	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_526949-flag_0-multi_1.9959-len_3055	3055	No terminal repeats	NA	5	11	0.9988	0.0011	1	8.2737	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000607_bin.1.p_NODE_675_length_3356_cov_1.826167	3356	No terminal repeats	NA	5	11	0.9988	0.0011	1	6.2981	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914	5914	No terminal repeats	NA	9	11	0.9988	0.0011	3	11.0618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_175124-flag_1-multi_3.5540-len_4318	4318	No terminal repeats	NA	10	11	0.9988	0.0011	2	7.5576	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_414845-flag_0-multi_16.0000-len_9313	9313	No terminal repeats	NA	11	11	0.9988	0.0011	3	10.4551	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003962_megahit_k141_101-flag=1-multi=5.0000-len=4189	4189	No terminal repeats	NA	8	11	0.9988	0.0011	4	10.5251	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_199365-flag_1-multi_4.0034-len_4207	4207	No terminal repeats	NA	7	11	0.9988	0.0011	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000600_bin.3.p_NODE_125_length_6004_cov_1.756032	6004	No terminal repeats	NA	11	11	0.9988	0.0011	1	5.1516	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_421574-flag_0-multi_9.0000-len_6941	6941	No terminal repeats	NA	14	11	0.9987	0.0011	1	11.6236	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_126356-flag_1-multi_4.0000-len_9929	9929	No terminal repeats	NA	10	11	0.9987	0.0011	1	6.5525	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000721_shovill_contig00166	5621	No terminal repeats	NA	3	11	0.9987	0.0011	1	4.8474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000537_shovill_contig00003|provirus_58050_94949	36900	Provirus	58050-94949	53	11	0.9987	0.0011	8	54.0777	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_18853-flag_1-multi_5.0000-len_11267	11267	No terminal repeats	NA	12	11	0.9987	0.0011	4	11.2093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_601846-flag_1-multi_7.0000-len_18625	18625	No terminal repeats	NA	29	11	0.9987	0.0011	1	18.0525	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_460887-flag_1-multi_3.0000-len_3770	3770	No terminal repeats	NA	5	11	0.9987	0.0011	1	5.1485	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000603_bin.2.s_NODE_227_length_5521_cov_1.768736	5521	No terminal repeats	NA	12	11	0.9987	0.0011	1	5.1535	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_560681-flag_0-multi_10.0000-len_4282	4282	No terminal repeats	NA	5	11	0.9987	0.0012	3	5.9384	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_386981-flag_1-multi_4.0000-len_3787	3787	No terminal repeats	NA	4	11	0.9987	0.0012	3	5.4162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000520_bin.1.p_NODE_85_length_12094_cov_10.067321	12094	No terminal repeats	NA	12	11	0.9987	0.0012	3	9.8243	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_66181-flag_1-multi_8.0000-len_5987	5987	No terminal repeats	NA	12	11	0.9987	0.0012	1	10.1592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_487646-flag_0-multi_5.9997-len_12174	12174	No terminal repeats	NA	14	11	0.9987	0.0012	2	9.5694	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_645510-flag_1-multi_4.0000-len_5183	5183	No terminal repeats	NA	9	11	0.9987	0.0012	0	9.5137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003960_shovill_contig00004|provirus_58263_72640	14378	Provirus	58263-72640	22	11	0.9987	0.0012	1	9.3985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000604_bin.1.o_k141_278678-flag_1-multi_3.0000-len_6457	6457	No terminal repeats	NA	5	11	0.9987	0.0012	1	5.8862	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000600_bin.3.p_NODE_281_length_3547_cov_2.261671	3547	No terminal repeats	NA	4	11	0.9987	0.0012	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003960_shovill_contig00027|provirus_34_30682	30649	Provirus	34-30682	38	11	0.9987	0.0012	10	33.1858	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_445929-flag_0-multi_6.9917-len_8835	8835	No terminal repeats	NA	14	11	0.9987	0.0012	1	14.1275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000520_bin.1.p_NODE_63_length_22896_cov_7.173890	22896	No terminal repeats	NA	28	11	0.9987	0.0012	1	21.9776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_335143-flag_0-multi_7.5837-len_11373	11373	No terminal repeats	NA	18	11	0.9987	0.0012	2	9.3781	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.1.o_k141_236036-flag_1-multi_3.0000-len_2889	2889	No terminal repeats	NA	4	11	0.9987	0.0012	0	6.6807	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane121s003963_shovill_contig00002|provirus_562802_631651	68850	Provirus	562802-631651	56	11	0.9987	0.0012	1	36.2539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.1.o_k141_293141-flag_0-multi_5.7416-len_7881	7881	No terminal repeats	NA	12	11	0.9987	0.0012	0	4.7672	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000599_bin.1.p_NODE_90_length_5456_cov_2.829522	5456	No terminal repeats	NA	12	11	0.9987	0.0012	0	4.5532	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_428778-flag_1-multi_5.0000-len_7819	7819	No terminal repeats	NA	14	11	0.9987	0.0012	1	4.6844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_182146-flag_1-multi_4.0000-len_6151	6151	No terminal repeats	NA	11	11	0.9987	0.0012	1	7.8839	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000601_bin.1.o_k141_197625-flag_1-multi_3.0000-len_4164	4164	No terminal repeats	NA	6	11	0.9987	0.0012	1	4.9332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_199572-flag_1-multi_5.0000-len_5506	5506	No terminal repeats	NA	11	11	0.9986	0.0012	1	6.8385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_135849-flag_1-multi_6.0000-len_14014	14014	No terminal repeats	NA	21	11	0.9986	0.0012	1	21.6663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_199215-flag_0-multi_12.9929-len_20294	20294	No terminal repeats	NA	34	11	0.9986	0.0012	8	30.4312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.1.o_k141_312201-flag_1-multi_5.0000-len_3019	3019	No terminal repeats	NA	3	11	0.9986	0.0012	2	4.9203	Unclassified
lane122s000602_bin.1.o_k141_258277-flag_0-multi_9.3269-len_5014	5014	No terminal repeats	NA	5	11	0.9986	0.0012	0	4.8234	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000606_bin.3.o_k141_178523-flag_1-multi_1.1064-len_4613	4613	No terminal repeats	NA	9	11	0.9986	0.0012	2	10.7412	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000607_bin.1.p_NODE_10_length_14107_cov_3.792872	14107	No terminal repeats	NA	20	11	0.9986	0.0012	4	14.1375	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000602_bin.1.o_k141_569282-flag_0-multi_5.5088-len_3653	3653	No terminal repeats	NA	7	11	0.9986	0.0012	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
lane122s000605_bin.2.o_k141_245754-flag_1-multi_5.0000-len_7408	7408	No terminal repeats	NA	10	11	0.9986	0.0012	0	10.5121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
