model	metabolite
lane121s003951_bin.1.p	ca2
lane121s003951_bin.1.p	cl
lane121s003951_bin.1.p	cobalt2
lane121s003951_bin.1.p	gln__L
lane121s003951_bin.1.p	k
lane121s003951_bin.1.p	mg2
lane121s003951_bin.1.p	mn2
lane121s003951_bin.1.p	so4
lane121s003951_bin.1.p	thm
lane121s003951_bin.1.p	zn2
lane121s003952_megahit	ca2
lane121s003952_megahit	cl
lane121s003952_megahit	cobalt2
lane121s003952_megahit	fe2
lane121s003952_megahit	k
lane121s003952_megahit	mg2
lane121s003952_megahit	mn2
lane121s003952_megahit	zn2
lane121s003953_shovill	ca2
lane121s003953_shovill	cl
lane121s003953_shovill	cobalt2
lane121s003953_shovill	cu2
lane121s003953_shovill	k
lane121s003953_shovill	mg2
lane121s003953_shovill	mn2
lane121s003953_shovill	zn2
lane121s003954_shovill	ca2
lane121s003954_shovill	cl
lane121s003954_shovill	cobalt2
lane121s003954_shovill	fe2
lane121s003954_shovill	k
lane121s003954_shovill	mg2
lane121s003954_shovill	mn2
lane121s003954_shovill	o2
lane121s003954_shovill	zn2
lane121s003955_bin.1.s	ca2
lane121s003955_bin.1.s	cl
lane121s003955_bin.1.s	cobalt2
lane121s003955_bin.1.s	gln__L
lane121s003955_bin.1.s	k
lane121s003955_bin.1.s	mg2
lane121s003955_bin.1.s	mn2
lane121s003955_bin.1.s	so4
lane121s003955_bin.1.s	thm
lane121s003955_bin.1.s	zn2
lane121s003958_shovill	ca2
lane121s003958_shovill	cl
lane121s003958_shovill	cobalt2
lane121s003958_shovill	cu2
lane121s003958_shovill	fe2
lane121s003958_shovill	k
lane121s003958_shovill	mg2
lane121s003958_shovill	mn2
lane121s003958_shovill	zn2
lane121s003960_shovill	ca2
lane121s003960_shovill	cl
lane121s003960_shovill	cobalt2
lane121s003960_shovill	cu2
lane121s003960_shovill	fe2
lane121s003960_shovill	k
lane121s003960_shovill	mg2
lane121s003960_shovill	mn2
lane121s003960_shovill	so4
lane121s003960_shovill	zn2
lane121s003962_megahit	ca2
lane121s003962_megahit	cl
lane121s003962_megahit	cobalt2
lane121s003962_megahit	cu2
lane121s003962_megahit	k
lane121s003962_megahit	mg2
lane121s003962_megahit	mn2
lane121s003962_megahit	pydxn
lane121s003962_megahit	zn2
lane121s003963_shovill	ca2
lane121s003963_shovill	cl
lane121s003963_shovill	cobalt2
lane121s003963_shovill	cu2
lane121s003963_shovill	fe2
lane121s003963_shovill	k
lane121s003963_shovill	mg2
lane121s003963_shovill	mn2
lane121s003963_shovill	zn2
lane121s003964_megahit	ca2
lane121s003964_megahit	cl
lane121s003964_megahit	cobalt2
lane121s003964_megahit	cu2
lane121s003964_megahit	fe2
lane121s003964_megahit	k
lane121s003964_megahit	mg2
lane121s003964_megahit	mn2
lane121s003964_megahit	zn2
lane121s003965_shovill	ca2
lane121s003965_shovill	cl
lane121s003965_shovill	cobalt2
lane121s003965_shovill	fe2
lane121s003965_shovill	k
lane121s003965_shovill	mg2
lane121s003965_shovill	mn2
lane121s003965_shovill	zn2
lane121s003968_megahit	ca2
lane121s003968_megahit	cl
lane121s003968_megahit	cobalt2
lane121s003968_megahit	k
lane121s003968_megahit	mg2
lane121s003968_megahit	mn2
lane121s003968_megahit	zn2
lane121s003971_bin.1.s	ca2
lane121s003971_bin.1.s	cl
lane121s003971_bin.1.s	cobalt2
lane121s003971_bin.1.s	k
lane121s003971_bin.1.s	mg2
lane121s003971_bin.1.s	mn2
lane121s003971_bin.1.s	zn2
lane121s003972_bin.2.s	ca2
lane121s003972_bin.2.s	cl
lane121s003972_bin.2.s	cobalt2
lane121s003972_bin.2.s	k
lane121s003972_bin.2.s	mg2
lane121s003972_bin.2.s	mn2
lane121s003972_bin.2.s	zn2
lane121s003972_shovill	ca2
lane121s003972_shovill	cl
lane121s003972_shovill	cobalt2
lane121s003972_shovill	k
lane121s003972_shovill	mg2
lane121s003972_shovill	mn2
lane121s003972_shovill	o2
lane121s003972_shovill	zn2
lane121s003976_shovill	ca2
lane121s003976_shovill	cl
lane121s003976_shovill	cobalt2
lane121s003976_shovill	k
lane121s003976_shovill	mg2
lane121s003976_shovill	mn2
lane121s003976_shovill	zn2
lane121s003977_shovill	ca2
lane121s003977_shovill	cl
lane121s003977_shovill	cobalt2
lane121s003977_shovill	k
lane121s003977_shovill	mg2
lane121s003977_shovill	mn2
lane121s003977_shovill	zn2
lane121s003978_shovill	ca2
lane121s003978_shovill	cl
lane121s003978_shovill	cobalt2
lane121s003978_shovill	fe2
lane121s003978_shovill	k
lane121s003978_shovill	mg2
lane121s003978_shovill	mn2
lane121s003978_shovill	zn2
lane121s003979_bin.1.s	ca2
lane121s003979_bin.1.s	cl
lane121s003979_bin.1.s	cobalt2
lane121s003979_bin.1.s	k
lane121s003979_bin.1.s	mg2
lane121s003979_bin.1.s	mn2
lane121s003979_bin.1.s	zn2
lane121s003980_megahit	ca2
lane121s003980_megahit	cl
lane121s003980_megahit	cobalt2
lane121s003980_megahit	k
lane121s003980_megahit	mg2
lane121s003980_megahit	mn2
lane121s003980_megahit	zn2
lane121s003984_bin.1.p	ca2
lane121s003984_bin.1.p	cl
lane121s003984_bin.1.p	cobalt2
lane121s003984_bin.1.p	k
lane121s003984_bin.1.p	mg2
lane121s003984_bin.1.p	mn2
lane121s003984_bin.1.p	ribflv
lane121s003984_bin.1.p	zn2
lane121s003986_megahit	ca2
lane121s003986_megahit	cl
lane121s003986_megahit	cobalt2
lane121s003986_megahit	k
