seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
lane122s000522_shovill_contig00032	4940	No terminal repeats	6	11	0.9991	0.0009	0	5.1548	NA	NA
lane122s000520_bin.1.p_NODE_70_length_16555_cov_7.772606	16555	No terminal repeats	19	11	0.9991	0.0009	3	16.4882	T_virB1	NA
lane122s000538_bin.1.p_NODE_27_length_18681_cov_202.187433	18681	No terminal repeats	23	11	0.9991	0.0009	0	18.8764	NA	NA
lane121s003965_shovill_contig00048	11747	DTR	14	11	0.9991	0.0009	0	8.0009	NA	NA
lane121s003952_megahit_k141_58-flag=0-multi=251.5702-len=14157	14157	No terminal repeats	15	11	0.9991	0.0009	2	10.8340	MOBP2	NA
lane121s003965_shovill_contig00057	7039	No terminal repeats	11	11	0.9991	0.0009	0	3.9204	NA	NA
lane121s003968_megahit_k141_58-flag=0-multi=406.7740-len=21699	21699	No terminal repeats	18	11	0.9991	0.0009	2	16.6728	MOBP2	NA
lane121s003952_megahit_k141_70-flag=0-multi=3153.3537-len=8590	8590	No terminal repeats	12	11	0.9991	0.0009	0	7.2937	NA	NA
lane821s003035_bin.1.p_NODE_51_length_4016_cov_233.751714	4016	No terminal repeats	8	11	0.9991	0.0009	0	3.8449	NA	NA
lane121s003968_megahit_k141_16-flag=0-multi=375.5882-len=3337	3337	No terminal repeats	6	11	0.9991	0.0009	0	5.1548	NA	NA
lane121s003978_shovill_contig00046	9104	DTR	9	11	0.9991	0.0009	0	3.2950	NA	NA
lane122s000544_bin.1.s_NODE_17_length_5432_cov_23.607096	5432	No terminal repeats	6	11	0.9991	0.0009	0	1.0648	NA	NA
lane121s003952_megahit_k141_49-flag=0-multi=3972.7865-len=5326	5326	No terminal repeats	6	11	0.9991	0.0009	0	2.3351	NA	NA
lane821s003035_bin.1.p_NODE_13_length_49342_cov_23.243337	49342	No terminal repeats	46	11	0.9991	0.0009	2	31.7588	MOBP2	NA
lane121s003965_shovill_contig00043	15678	No terminal repeats	11	11	0.9991	0.0009	0	4.7867	NA	NA
lane122s000520_bin.1.p_NODE_105_length_5916_cov_5.649769	5916	No terminal repeats	9	11	0.9991	0.0009	4	6.6587	T_virB9;T_virB8;T_virB5	NA
lane121s003965_shovill_contig00047	13242	No terminal repeats	15	11	0.9991	0.0009	0	10.9229	NA	NA
lane121s003952_megahit_k141_182-flag=0-multi=275.2308-len=3885	3885	No terminal repeats	9	11	0.9991	0.0009	0	4.0943	NA	NA
lane121s003952_megahit_k141_152-flag=0-multi=375.7249-len=16499	16499	No terminal repeats	18	11	0.9991	0.0009	0	11.4631	NA	NA
lane122s000541_shovill_contig00041	7293	No terminal repeats	10	11	0.9991	0.0009	0	2.5405	NA	NA
lane121s003995_shovill_contig00053	4123	No terminal repeats	6	11	0.9991	0.0009	1	7.1164	T_virB1	NA
lane122s000521_bin.1.s_NODE_26_length_58793_cov_87.605644	58793	No terminal repeats	45	11	0.9991	0.0009	1	41.1900	T_virB11	NA
lane121s003952_megahit_k141_54-flag=0-multi=383.7093-len=15950	15950	No terminal repeats	11	11	0.9991	0.0009	0	4.7867	NA	NA
lane122s000521_bin.1.s_NODE_25_length_59885_cov_142.921415	59885	No terminal repeats	67	11	0.9991	0.0009	2	45.3024	NA	NF033075;NF033134
lane121s003995_shovill_contig00016	149906	DTR	158	11	0.9991	0.0009	12	49.2935	T_virB11;T_virB2;virb4;T_virB5;T_virB8;T_virB9;T_virB10;T_virB1	NA
lane121s003965_shovill_contig00054	7899	No terminal repeats	8	11	0.9991	0.0009	0	2.3351	NA	NA
lane122s000541_shovill_contig00031	18795	No terminal repeats	22	11	0.9991	0.0009	0	15.8294	NA	NA
lane122s000541_shovill_contig00030	28722	No terminal repeats	27	11	0.9991	0.0009	2	16.8273	MOBP2	NA
lane122s000521_bin.2.p_NODE_23_length_93065_cov_11.614198	93065	No terminal repeats	130	11	0.9991	0.0009	0	40.3670	NA	NA
lane121s003979_bin.1.s_NODE_30_length_30000_cov_432.566420	30000	No terminal repeats	41	11	0.9991	0.0009	0	1.2269	NA	NA
lane121s003980_megahit_k141_26-flag=0-multi=861.3139-len=30260	30260	No terminal repeats	43	11	0.9991	0.0009	0	1.2269	NA	NA
lane121s003952_megahit_k141_126-flag=0-multi=199.3065-len=7028	7028	No terminal repeats	9	11	0.9991	0.0009	0	5.6464	NA	NA
lane121s003968_megahit_k141_40-flag=0-multi=136.8832-len=3085	3085	No terminal repeats	7	11	0.9991	0.0009	0	2.1266	NA	NA
lane122s000538_bin.1.p_NODE_22_length_42823_cov_202.337552	42823	No terminal repeats	46	11	0.9991	0.0009	2	21.4377	MOBP2	NA
lane121s003968_megahit_k141_193-flag=3-multi=3527.3489-len=10251	10251	DTR	11	11	0.9991	0.0009	0	3.0665	NA	NA
lane122s000538_bin.1.p_NODE_35_length_5480_cov_24.246900	5480	No terminal repeats	7	11	0.9991	0.0009	0	0.7952	NA	NA
