id	item	ms_ref	description	contributors	code	code_anchor	input_data	output	source_data	reproduce	large_file	type
F1a	Fig 1a	Fig. 1a	Nested sampling design (nine sites; soil column; three particles per column; 27 communities)	G. Yousif	Schematic (BioRender)			figures/fig1		Schematic illustration		schematic
F1b	Fig 1b	Fig. 1b	Proportion of isolates that are auxotrophic in each community	G. Yousif (data); L. Oña (Python render)	code/plots.ipynb		full auxotrophy screen (G. Yousif; not committed)	figures/fig1		Per-community auxotroph proportion (range 10-50%)		experimental
F1c	Fig 1c	Fig. 1c	Relative frequency of the number of amino-acid auxotrophies per strain	G. Yousif (data); L. Oña (Python render)	code/plots.ipynb		full auxotrophy screen (G. Yousif; not committed)	figures/fig1		Distribution of auxotrophies per strain (73% require multiple amino acids)		experimental
F1d	Fig 1d	Fig. 1d	Relative frequency of each individual amino-acid auxotrophy	G. Yousif (data); L. Oña (Python render)	code/plots.ipynb		full auxotrophy screen (G. Yousif; not committed)	figures/fig1		Per-amino-acid auxotrophy frequency (Val 59%, Leu 47%, Ile 27%)		experimental
F2a	Fig 2a	Fig. 2a	Phylogenetic distribution of auxotrophic (n=390) and prototrophic (n=240) isolates from 16S rRNA	G. Yousif	16S rRNA circular phylogeny		data/genomes/16S sequences	figures/fig2		Phylum-level distribution (Firmicutes, Actinobacteria, Proteobacteria)		co-author figure
F2b	Fig 2b	Fig. 2b	Community species richness vs the proportion of auxotrophic strains	G. Yousif (data); L. Oña (Python render)	code/plots.ipynb		richness and auxotroph proportion per community	figures/fig2		Spearman rho = 0.60, P = 9.7e-4, n = 27		experimental
F3a	Fig 3a	Fig. 3a	GEM-predicted vs experimentally observed amino-acid auxotrophies	F. Zorrilla (analysis); L. Oña (Python render)	code/plots.ipynb	cell 15 (render), 16 (statistic)	data/figure_data/figure3panelA.tsv (from auxopred_default.tsv + auxolab_summary.tsv)	figures/fig3		Spearman rho = 0.360, N = 62		reproducible
F3b	Fig 3b	Fig. 3b	Annotation-based (KEMET) predicted vs observed amino-acid auxotrophies	F. Zorrilla (analysis); L. Oña (Python render)	code/plots.ipynb	cell 20 (render), 21 (statistic)	data/figure_data/figure3panelB.tsv (from kemet_summary.tsv + auxolab_summary.tsv)	figures/fig3		Spearman rho = -0.071, N = 62		reproducible
F4a	Fig 4a	Fig. 4a	Annotated genes per Mbp for metagenomic, prototrophic and auxotrophic genomes	F. Zorrilla (analysis); L. Oña (Python render)	analysis/04_genome_features/metabolic_modeling_soil.Rmd; code/plots.ipynb		data/figure_data/figure4panelA.tsv	figures/fig4		Medians 934 (auxotroph, n=53) / 880 (prototroph, n=9); Mann-Whitney BH P = 0.013, W = 106		reproducible
F4b	Fig 4b	Fig. 4b	Insertion sequences per Mbp	F. Zorrilla (analysis); L. Oña (Python render)	analysis/04_genome_features/metabolic_modeling_soil.Rmd; code/plots.ipynb	cell 40	data/figure_data/figure4panelB.tsv (from ISfinder_k1000.tsv)	figures/fig4		Medians 227 (auxotroph, n=53) / 5.1 (prototroph, n=9); Mann-Whitney BH P = 0.016, W = 99		reproducible
