gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
lane121s003953_shovill_contig00026_1	1	489	489	1	0.374	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_2	486	1223	738	1	0.453	11	GGA/GAG/AGG	GENOMAD.218112.VP	6.157e-15	77	0	0	1	2561	Caudoviricetes	NA	NA	PF20307	Divergent DnaB-like ATPase
lane121s003953_shovill_contig00026_3	1220	1411	192	1	0.380	11	AGxAGG/AGGxGG	GENOMAD.215569.VC	2.901e-09	53	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_4	1408	1638	231	1	0.476	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_5	1732	1914	183	1	0.470	11	GGAGG	GENOMAD.137255.VV	2.188e-17	76	0	0	0	9913	Herelleviridae	NA	NA	NA	NA
lane121s003953_shovill_contig00026_6	1911	3254	1344	1	0.458	11	AGGAGG	GENOMAD.218112.VP	2.051e-99	333	0	0	1	2561	Caudoviricetes	NA	NA	PF20307	Divergent DnaB-like ATPase
lane121s003953_shovill_contig00026_7	3343	4341	999	1	0.435	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_8	4301	4525	225	-1	0.387	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_9	4785	5315	531	1	0.386	11	AGGAGG	GENOMAD.117658.VV	4.459e-17	81	0	0	0	2561	Caudoviricetes	NA	NA	PF07638	RNA polymerase sigma factor RpoE
lane121s003953_shovill_contig00026_10	5581	5754	174	1	0.431	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_11	5769	6365	597	1	0.459	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_12	6362	6541	180	1	0.472	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_13	6714	7052	339	-1	0.404	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_14	7066	7398	333	-1	0.369	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_15	8067	8171	105	1	0.448	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_16	8222	8956	735	1	0.471	11	GGA/GAG/AGG	GENOMAD.137739.VV	4.86e-49	177	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_17	8977	9378	402	1	0.480	11	AGGAGG	GENOMAD.093123.VV	5.684e-24	99	0	0	0	2561	Caudoviricetes	NA	NA	PF11645	PD-(D/E)XK endonuclease
lane121s003953_shovill_contig00026_18	9378	11042	1665	1	0.447	11	GGAG/GAGG	GENOMAD.093113.VV	1.987e-32	137	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_19	11073	13406	2334	1	0.455	11	AGGAGG	GENOMAD.064064.VV	0.0004984	46	0	0	0	2561	Caudoviricetes	NA	NA	TIGR01388;COG0349	ribonuclease D
lane121s003953_shovill_contig00026_20	13403	13735	333	1	0.420	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_21	13732	14007	276	1	0.446	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_22	14020	14208	189	1	0.413	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_23	14209	15243	1035	1	0.471	11	AGxAGG/AGGxGG	GENOMAD.044296.VV	7.638e-46	172	0	0	0	2561	Caudoviricetes	NA	NA	PF06023	CRISPR-associated protein Cas4
lane121s003953_shovill_contig00026_24	15330	15422	93	1	0.441	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_25	15546	16361	816	1	0.467	11	AGGAG/GGAGG	GENOMAD.049410.VV	1.458e-34	136	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_26	16361	16942	582	1	0.509	11	GGAG/GAGG	GENOMAD.171854.VC	1.804e-27	112	0	0	0	2561	Caudoviricetes	NA	NA	PF02075	Crossover junction endodeoxyribonuclease RuvC
lane121s003953_shovill_contig00026_27	16942	17355	414	1	0.401	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_28	17352	17519	168	1	0.429	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_29	17516	17671	156	1	0.429	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_30	17695	20001	2307	1	0.452	11	GGAG/GAGG	GENOMAD.104099.VC	2.946e-19	96	0	0	0	2561	Caudoviricetes	NA	NA	PF17975;PF02867	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
lane121s003953_shovill_contig00026_31	20216	20470	255	1	0.400	11	GGAGG	GENOMAD.111442.VV	1.201e-11	61	0	0	0	1	NA	NA	NA	PF09466	Hypothetical protein Yqai
lane121s003953_shovill_contig00026_32	20482	20748	267	1	0.419	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_33	20760	21422	663	1	0.428	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_34	21419	21631	213	1	0.474	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_35	21628	21864	237	1	0.401	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_36	21861	22412	552	1	0.467	11	GGAGG	GENOMAD.074923.VV	6.758e-13	69	0	0	0	2561	Caudoviricetes	NA	NA	PF00692	dUTPase
lane121s003953_shovill_contig00026_37	22409	22558	150	1	0.393	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_38	22555	23358	804	1	0.504	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_39	23358	24056	699	1	0.478	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_40	24060	24551	492	1	0.427	11	GGA/GAG/AGG	GENOMAD.003019.VV	7.358e-15	74	0	0	1	2561	Caudoviricetes	NA	NA	PF11753	Protein of unknwon function (DUF3310)
lane121s003953_shovill_contig00026_41	24737	25678	942	-1	0.425	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_42	25794	26441	648	1	0.458	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_43	26454	26942	489	1	0.438	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
